Date	Price	Open	High	Low	Change %
Mar 25, 2014	13.827	13.839	13.848	13.750	-0.09%
Mar 26, 2014	13.783	13.827	13.829	13.777	-0.32%
Mar 27, 2014	13.740	13.781	13.798	13.729	-0.31%
Mar 28, 2014	13.753	13.740	13.773	13.705	0.09%
Mar 31, 2014	13.771	13.755	13.807	13.734	0.13%
Apr 01, 2014	13.794	13.769	13.817	13.767	0.17%
Apr 02, 2014	13.767	13.792	13.821	13.752	-0.20%
Apr 03, 2014	13.720	13.768	13.807	13.699	-0.34%
Apr 04, 2014	13.703	13.719	13.732	13.672	-0.12%
Apr 07, 2014	13.741	13.696	13.749	13.689	0.28%
Apr 08, 2014	13.796	13.741	13.813	13.737	0.40%
Apr 09, 2014	13.855	13.794	13.862	13.779	0.43%
Apr 10, 2014	13.888	13.855	13.899	13.835	0.24%
Apr 11, 2014	13.885	13.888	13.907	13.864	-0.02%
Apr 14, 2014	13.821	13.839	13.866	13.810	-0.46%
Apr 15, 2014	13.814	13.821	13.835	13.790	-0.05%
Apr 16, 2014	13.816	13.814	13.852	13.804	0.01%
Apr 17, 2014	13.815	13.816	13.866	13.810	-0.01%
Apr 18, 2014	13.815	13.814	13.825	13.808	0.00%
Apr 21, 2014	13.792	13.809	13.832	13.786	-0.17%
Apr 22, 2014	13.805	13.794	13.826	13.785	0.09%
Apr 23, 2014	13.817	13.805	13.855	13.800	0.09%
Apr 24, 2014	13.832	13.819	13.843	13.792	0.11%
Apr 25, 2014	13.833	13.832	13.850	13.826	0.01%
Apr 28, 2014	13.850	13.834	13.880	13.814	0.12%
Apr 29, 2014	13.812	13.849	13.879	13.805	-0.27%
Apr 30, 2014	13.868	13.813	13.878	13.777	0.41%
May 01, 2014	13.870	13.866	13.889	13.861	0.01%
May 02, 2014	13.870	13.868	13.881	13.811	0.00%
May 05, 2014	13.876	13.872	13.892	13.865	0.04%
May 06, 2014	13.928	13.875	13.952	13.869	0.37%
May 07, 2014	13.912	13.928	13.940	13.910	-0.11%
May 08, 2014	13.841	13.911	13.993	13.832	-0.51%
May 09, 2014	13.760	13.841	13.847	13.746	-0.59%
May 12, 2014	13.757	13.750	13.775	13.748	-0.02%
May 13, 2014	13.704	13.758	13.773	13.691	-0.39%
May 14, 2014	13.715	13.704	13.732	13.697	0.08%
May 15, 2014	13.711	13.715	13.733	13.648	-0.03%
May 16, 2014	13.695	13.712	13.729	13.687	-0.12%
May 19, 2014	13.709	13.703	13.736	13.688	0.10%
May 20, 2014	13.703	13.708	13.714	13.678	-0.04%
May 21, 2014	13.687	13.703	13.724	13.635	-0.12%
May 22, 2014	13.656	13.687	13.689	13.645	-0.23%
May 23, 2014	13.634	13.656	13.660	13.615	-0.16%
May 26, 2014	13.646	13.626	13.655	13.615	0.09%
May 27, 2014	13.634	13.647	13.670	13.613	-0.09%
May 28, 2014	13.591	13.635	13.639	13.588	-0.32%
May 29, 2014	13.602	13.589	13.626	13.585	0.08%
May 30, 2014	13.631	13.601	13.650	13.598	0.21%
Jun 02, 2014	13.597	13.636	13.646	13.589	-0.25%
Jun 03, 2014	13.628	13.596	13.647	13.586	0.23%
Jun 04, 2014	13.599	13.628	13.639	13.595	-0.21%
Jun 05, 2014	13.660	13.599	13.671	13.504	0.45%
Jun 06, 2014	13.643	13.662	13.678	13.620	-0.12%
Jun 09, 2014	13.594	13.645	13.670	13.583	-0.36%
Jun 10, 2014	13.548	13.594	13.603	13.533	-0.34%
Jun 11, 2014	13.533	13.548	13.558	13.521	-0.11%
Jun 12, 2014	13.553	13.533	13.574	13.512	0.15%
Jun 13, 2014	13.542	13.552	13.580	13.519	-0.08%
Jun 16, 2014	13.575	13.535	13.580	13.514	0.24%
Jun 17, 2014	13.546	13.574	13.588	13.536	-0.21%
Jun 18, 2014	13.596	13.546	13.599	13.540	0.37%
Jun 19, 2014	13.609	13.596	13.643	13.582	0.10%
Jun 20, 2014	13.599	13.607	13.634	13.563	-0.07%
Jun 23, 2014	13.605	13.596	13.615	13.575	0.04%
Jun 24, 2014	13.605	13.603	13.628	13.582	0.00%
Jun 25, 2014	13.630	13.607	13.652	13.599	0.18%
Jun 26, 2014	13.611	13.628	13.641	13.575	-0.14%
Jun 27, 2014	13.649	13.611	13.652	13.609	0.28%
Jun 30, 2014	13.692	13.646	13.698	13.639	0.32%
Jul 01, 2014	13.679	13.692	13.701	13.675	-0.09%
Jul 02, 2014	13.660	13.679	13.684	13.642	-0.14%
Jul 03, 2014	13.611	13.659	13.665	13.596	-0.36%
