"","FTSE China A50 (FTXIN9)_history.csv Date","FTSE China A50 (FTXIN9)_history.csv Price","FTSE China A50 (FTXIN9)_history.csv Open","FTSE China A50 (FTXIN9)_history.csv High","FTSE China A50 (FTXIN9)_history.csv Low","FTSE China A50 (FTXIN9)_history.csv Volume"
"1505",2016-07-06,9494.22,9492.54,9509.41,9423.9,
"1506",2016-07-07,9475.83,9494.22,9497.5,9426.49,
"1507",2016-07-08,9400.07,9475.83,9475.83,9387.39,
"1508",2016-07-11,9431.5,9400.07,9513.16,9393.27,
"1509",2016-07-12,9609.62,9431.5,9614.5,9431.5,
"1510",2016-07-13,9592.65,9609.62,9699.99,9567.45,
"1511",2016-07-14,9572.7,9592.65,9596.01,9529.14,
"1512",2016-07-15,9594.54,9572.7,9616.03,9562.21,
"1513",2016-07-18,9591.97,9594.54,9667.84,9570.78,
"1514",2016-07-19,9526.56,9591.97,9617.7,9478.33,
"1515",2016-07-20,9485.83,9526.56,9532.79,9473.06,
"1516",2016-07-21,9542.04,9485.83,9575.48,9484.65,
"1517",2016-07-22,9450.34,9542.04,9543.89,9437.46,
"1518",2016-07-25,9447.09,9450.34,9487.9,9422.16,
"1519",2016-07-26,9542.21,9447.09,9544.15,9430.93,
"1520",2016-07-27,9516.33,9542.21,9555.95,9321.99,
"1521",2016-07-28,9470.55,9516.33,9516.99,9442.19,
"1522",2016-07-29,9457.03,9470.55,9491.96,9440.32,
"1523",2016-08-01,9437.47,9457.03,9470.32,9391,
"1524",2016-08-02,9436.41,9437.47,9452.77,9395,
"1525",2016-08-03,9424.85,9436.41,9438.42,9381.29,
"1526",2016-08-04,9408.63,9424.85,9431.34,9357.77,
"1527",2016-08-05,9434.57,9408.63,9480.97,9383.96,
"1528",2016-08-08,9474.17,9434.57,9475.59,9384.94,
"1529",2016-08-09,9539.48,9474.17,9545.78,9466.88,
"1530",2016-08-10,9520.12,9539.48,9556.22,9514.81,
"1531",2016-08-11,9571.07,9520.12,9693.13,9510.18,
"1532",2016-08-12,9763.97,9571.07,9764.24,9567.67,
"1533",2016-08-15,10027.96,9763.97,10123.12,9763.97,
"1534",2016-08-16,9892.85,10027.96,10089.03,9873.1,
"1535",2016-08-17,9891.17,9892.85,9967.34,9849.52,
"1536",2016-08-18,9842.22,9891.17,9970.32,9802.78,
"1537",2016-08-19,9863.87,9842.22,9883.87,9789.31,
"1538",2016-08-22,9814.47,9863.87,9877.54,9803.56,
"1539",2016-08-23,9844.26,9814.47,9911.06,9803.67,
"1540",2016-08-24,9798.07,9844.26,9851.58,9777,
"1541",2016-08-25,9761.43,9798.07,9798.07,9685.45,
"1542",2016-08-26,9743.45,9761.43,9796,9728.27,
"1543",2016-08-29,9729.71,9743.45,9747.54,9682.37,
"1544",2016-08-30,9771.55,9729.71,9796.35,9728.24,
"1545",2016-08-31,9811.09,9771.55,9832.67,9757.89,
"1546",2016-09-01,9767.63,9811.09,9828.18,9763.27,
