"","US SmallCap 2000 (US2000)_history.csv Date","US SmallCap 2000 (US2000)_history.csv Price","US SmallCap 2000 (US2000)_history.csv Open","US SmallCap 2000 (US2000)_history.csv High","US SmallCap 2000 (US2000)_history.csv Low","US SmallCap 2000 (US2000)_history.csv Volume"
"285",2010-02-19,631.62,628.64,632.84,626.6,"-"
"286",2010-02-22,632.25,632.83,633.55,630.46,"-"
"287",2010-02-23,625.07,631.31,631.52,623.77,"-"
"288",2010-02-24,630.43,625.82,632.28,625.75,"-"
"289",2010-02-25,630.46,624.81,630.46,620.61,"-"
"290",2010-02-26,628.56,630.76,630.81,625.16,"-"
"291",2010-03-01,642.65,630.61,642.65,630.61,"-"
"292",2010-03-02,648.31,643.43,650.26,643.43,"-"
"293",2010-03-03,649.26,649.55,653.88,647.64,"-"
"294",2010-03-04,652.47,650.25,652.51,648.18,"-"
"295",2010-03-05,666.02,654.87,666.02,654.87,"-"
"296",2010-03-08,667.11,665.96,668.16,664.99,"-"
"297",2010-03-09,669.63,665.26,673.43,664.6,"-"
"298",2010-03-10,674.93,670.09,677.47,669.86,"-"
"299",2010-03-11,677.22,671.67,677.22,668.9,"-"
"300",2010-03-12,676.59,678.9,678.9,672.57,"-"
"301",2010-03-15,674.41,675.35,676.21,669.4,"-"
"302",2010-03-16,679.58,674.64,679.58,673.05,"-"
"303",2010-03-17,683.98,680.36,686.94,680.23,"-"
"304",2010-03-18,681.61,682.07,685.97,680.78,"-"
"305",2010-03-19,673.89,682.4,683.62,671.17,"-"
"306",2010-03-22,682.91,669.88,683.29,667.49,"-"
"307",2010-03-23,690.3,683.13,690.85,680.63,"-"
"308",2010-03-24,683.68,688.12,689.36,683.37,"-"
"309",2010-03-25,679.1,687.12,693.32,678.88,"-"
"310",2010-03-26,678.97,679.08,685.5,676.79,"-"
"311",2010-03-29,682.25,680.64,683.45,679.27,"-"
"312",2010-03-30,683.94,682.9,686.64,679.85,"-"
"313",2010-03-31,678.64,681.37,687.73,678.64,"-"
"314",2010-04-01,683.98,681.57,686.5,677.75,"-"
"315",2010-04-05,697.65,686.23,697.65,685.46,"-"
"316",2010-04-06,701.48,694.96,702.65,693.94,"-"
"317",2010-04-07,699.46,700.21,702.84,695.36,"-"
"318",2010-04-08,699.64,697.41,701.52,692.48,"-"
"319",2010-04-09,702.95,700.89,702.95,696.07,"-"
"320",2010-04-12,705.06,703.73,706.46,701.96,"-"
"321",2010-04-13,707.03,704.04,707.24,700.41,"-"
"322",2010-04-14,722.4,709.91,722.4,709.91,"-"
"323",2010-04-15,724.21,722.11,725.13,720.7,"-"
"324",2010-04-16,714.62,723.57,723.99,710.29,"-"
"325",2010-04-19,711.4,714.35,716.81,702.25,"-"
"326",2010-04-20,721.55,713.43,721.55,712.38,"-"
"327",2010-04-21,726.19,721.54,726.81,719.9,"-"
"328",2010-04-22,734.31,721.13,734.36,715.62,"-"
"329",2010-04-23,741.92,734.48,741.92,731.72,"-"
"330",2010-04-26,738.86,741.58,745.95,738.63,"-"
