"","Bovespa (BVSP)_history.csv Date","Bovespa (BVSP)_history.csv Price","Bovespa (BVSP)_history.csv Open","Bovespa (BVSP)_history.csv High","Bovespa (BVSP)_history.csv Low","Bovespa (BVSP)_history.csv Volume"
"515",2011-02-02,66688.48,67844.37,68011.96,66643,"2550000"
"516",2011-02-03,66764.84,66688.32,66848.61,66090.82,"2380000"
"517",2011-02-04,65269.15,66752.08,66946.48,65159.73,"2680000"
"518",2011-02-07,65362.04,65272.38,65892.76,64915.83,"1980000"
"519",2011-02-08,65771.33,65359.4,66237.76,65110.46,"2760000"
"520",2011-02-09,64217.52,65767.21,65767.21,64016.36,"2810000"
"521",2011-02-10,64577.83,64217.36,65106.23,64184.89,"2360000"
"522",2011-02-11,65755.66,64581.6,65890.07,64562.16,"2400000"
"523",2011-02-14,66557.55,65751.32,66743.42,65461.57,"1950000"
"524",2011-02-15,66341.39,66557.75,66860.77,66117.13,"2360000"
"525",2011-02-16,67576,66341.97,67793.44,66341.97,"2670000"
"526",2011-02-17,67684.99,67579.55,67875.96,67106.62,"2150000"
"527",2011-02-18,68066.82,67684.99,68225.66,67385.93,"1940000"
"528",2011-02-21,67258.66,68066.82,68066.82,67084.92,"1450000"
"529",2011-02-22,66439.83,67254.54,67569.79,66342.18,"3050000"
"530",2011-02-23,66910.48,66439.95,67265.75,66049.36,"3330000"
"531",2011-02-24,66948.99,66909.27,67343.6,66692.81,"2700000"
"532",2011-02-25,66902.53,66951.7,67632.46,66331.07,"2390000"
"533",2011-02-28,67383.22,66909.3,67458.28,66686.78,"2640000"
"534",2011-03-01,66242.63,67380.7,67708.4,66242.63,"2170000"
"535",2011-03-02,67281.51,66241.5,67281.51,66101.24,"2520000"
"536",2011-03-03,68145.53,67283.78,68188.22,67283.78,"2250000"
"537",2011-03-04,68012.1,68137.8,68219.94,67513.6,"1840000"
"538",2011-03-09,67263.75,68010.36,68056.82,67108.77,"1410000"
"539",2011-03-10,66040.66,67255.94,67255.94,65853.94,"2380000"
"540",2011-03-11,66684.6,66041.33,67014.07,65558.87,"2490000"
"541",2011-03-14,67169.25,66684.44,67333.15,66087.73,"1870000"
"542",2011-03-15,67005.22,67167.57,67167.57,65463.02,"2850000"
"543",2011-03-16,66002.57,67010.83,67502.05,65662.68,"3060000"
"544",2011-03-17,66215.93,66016.52,66950.2,66014.71,"1980000"
"545",2011-03-18,66879.89,66216.94,67384.47,66216.94,"2840000"
"546",2011-03-21,66689.61,66886.98,67675.88,66656.48,"2560000"
"547",2011-03-22,67578.33,66683.81,67630.53,66531.26,"2360000"
"548",2011-03-23,67795.51,67570.22,67917.92,67316.69,"2150000"
"549",2011-03-24,67532.97,67798.87,68008.95,67405.91,"1820000"
"550",2011-03-25,67765.94,67528.4,68256.24,67496.93,"2220000"
"551",2011-03-28,67192.82,67766.5,68070.47,67192.82,"1440000"
"552",2011-03-29,67418.76,67194.24,67862.19,67046.08,"1770000"
"553",2011-03-30,67997.06,67422.96,68003.87,67422.96,"1860000"
"554",2011-03-31,68586.7,68000.46,68606.06,68000.46,"2120000"
"555",2011-04-01,69268.29,68588.06,69387.19,68588.06,"2400000"
"556",2011-04-04,69703.8,69269.87,69787.27,69269.87,"1920000"
"557",2011-04-05,69837.52,69703.8,70046.53,69464.82,"2480000"
"558",2011-04-06,69036.91,69841.4,70107.71,68954.26,"2110000"
"559",2011-04-07,69176.12,69039.7,69333.72,68695.01,"2220000"
"560",2011-04-08,68718.01,69179.54,69429.86,68471.84,"2110000"
"561",2011-04-11,68164.36,68718.82,69176.75,68029.3,"2170000"
"562",2011-04-12,66896.23,68153.32,68153.32,66721.12,"2530000"
"563",2011-04-13,66486.49,66908.61,67410.69,66251.35,"2520000"
"564",2011-04-14,66278.89,66483.42,67041.79,66089.52,"2260000"
"565",2011-04-15,66684.21,66281.46,66765.19,65832.39,"2150000"
"566",2011-04-18,65415.49,66688.81,66705.72,65158.47,"3060000"
"567",2011-04-19,66158.09,65416.7,66256.94,65416.7,"2210000"
"568",2011-04-20,67058.02,66164.94,67076.76,66164.94,"2400000"
"569",2011-04-25,66972.37,67058.02,67124.33,66552.06,"1390000"
"570",2011-04-26,67144.26,66971.89,67413.16,66722.43,"1730000"
"571",2011-04-27,66264.47,67142.73,67228.28,65885.44,"2150000"
"572",2011-04-28,65673.21,66249.18,66249.18,65105.31,"3090000"
"573",2011-04-29,66132.86,65664.39,66293.78,65460.92,"2650000"
"574",2011-05-02,65462.75,66119.4,66500.26,65345.68,"2310000"
"575",2011-05-03,64318.18,65457.68,65468.32,64243.67,"2240000"
"576",2011-05-04,63615.5,64320.41,64807.13,63547.51,"2490000"
"577",2011-05-05,63407.01,63608.91,64267.79,62972.77,"2810000"
"578",2011-05-06,64417.34,63422.21,64703.92,63422.21,"2690000"
"579",2011-05-09,64621.97,64415.96,64781.87,64149.5,"1880000"
"580",2011-05-10,64876.88,64621.97,65143.41,64618.83,"1980000"
"581",2011-05-11,63775.82,64876.7,64876.7,63621.99,"2460000"
"582",2011-05-12,64003.16,63771.66,64328.93,63125.39,"2490000"
"583",2011-05-13,63235.3,64003.16,64165.24,63063.44,"2670000"
"584",2011-05-16,62829.68,63233.37,63828.54,62675.59,"2460000"
"585",2011-05-17,63673.34,62830.37,63680.44,62414.43,"2210000"
"586",2011-05-18,62840.61,63675.18,64015.02,62830.45,"2490000"
"587",2011-05-19,62367.36,62843.91,63607.37,62224.69,"2290000"
"588",2011-05-20,62596.52,62369.83,63043.2,62086.18,"2090000"
"589",2011-05-23,62345.18,62596.52,62596.52,61658.74,"1770000"
"590",2011-05-24,63336.75,62350.11,63414.8,62350.11,"2010000"
"591",2011-05-25,63388.44,63328.63,63857.12,63024.77,"1920000"
"592",2011-05-26,64098.57,63388.69,64121.25,63231.95,"2400000"
"593",2011-05-27,64294.96,64100.77,64548.22,64092.4,"1670000"
"594",2011-05-30,63953.93,64294.96,64460.27,63914.64,"629040"
"595",2011-05-31,64620.08,63960.93,64620.08,63931.64,"2430000"
"596",2011-06-01,63411.48,64616.35,64673.73,63401.14,"2160000"
