"","Dow Jones Industrial Average (DJI)_history.csv Date","Dow Jones Industrial Average (DJI)_history.csv Price","Dow Jones Industrial Average (DJI)_history.csv Open","Dow Jones Industrial Average (DJI)_history.csv High","Dow Jones Industrial Average (DJI)_history.csv Low","Dow Jones Industrial Average (DJI)_history.csv Volume"
"1834",2016-04-18,18004.16,17890.2,18009.53,17848.22,"89390000"
"1835",2016-04-19,18053.6,18012.1,18103.46,17984.43,"89820000"
"1836",2016-04-20,18096.27,18059.49,18167.63,18031.21,"100210000"
"1837",2016-04-21,17982.52,18092.84,18107.29,17963.89,"102720000"
"1838",2016-04-22,18003.75,17985.05,18026.85,17909.89,"134120000"
"1839",2016-04-25,17977.24,17990.94,17990.94,17855.55,"83770000"
"1840",2016-04-26,17990.32,17987.38,18043.77,17934.17,"92570000"
"1841",2016-04-27,18041.55,17996.14,18084.66,17920.26,"109090000"
"1842",2016-04-28,17830.76,18023.88,18035.73,17796.55,"100920000"
"1843",2016-04-29,17773.64,17813.09,17814.83,17651.98,"136670000"
"1844",2016-05-02,17891.16,17783.78,17912.35,17773.71,"80100000"
"1845",2016-05-03,17750.91,17870.75,17870.75,17670.88,"97070000"
"1846",2016-05-04,17651.26,17735.02,17738.06,17609.01,"95020000"
"1847",2016-05-05,17660.71,17664.48,17736.11,17615.82,"81530000"
"1848",2016-05-06,17740.63,17650.3,17744.54,17580.38,"80020000"
"1849",2016-05-09,17705.91,17743.85,17783.16,17668.38,"85590000"
"1850",2016-05-10,17928.35,17726.66,17934.61,17726.66,"75790000"
"1851",2016-05-11,17711.12,17919.03,17919.03,17711.05,"87390000"
"1852",2016-05-12,17720.5,17722.01,17798.19,17625.38,"88570000"
"1853",2016-05-13,17535.32,17711.12,17734.74,17512.48,"86650000"
"1854",2016-05-16,17710.71,17531.76,17755.8,17531.76,"88440000"
"1855",2016-05-17,17529.98,17701.46,17701.46,17469.92,"103260000"
"1856",2016-05-18,17526.62,17501.28,17636.22,17418.21,"79120000"
"1857",2016-05-19,17435.4,17514.16,17514.16,17331.07,"95530000"
"1858",2016-05-20,17500.94,17437.32,17571.75,17437.32,"1.12e+08"
"1859",2016-05-23,17492.93,17507.04,17550.7,17480.05,"87790000"
"1860",2016-05-24,17706.05,17525.19,17742.59,17525.19,"86480000"
"1861",2016-05-25,17851.51,17735.09,17891.71,17735.09,"79180000"
"1862",2016-05-26,17828.29,17859.52,17888.66,17803.82,"68940000"
"1863",2016-05-27,17873.22,17826.85,17873.22,17824.73,"73190000"
"1864",2016-05-31,17787.2,17891.5,17899.24,17724.03,"147390000"
"1865",2016-06-01,17789.67,17754.55,17809.18,17664.79,"78530000"
"1866",2016-06-02,17838.56,17789.05,17838.56,17703.55,"75560000"
"1867",2016-06-03,17807.06,17799.8,17833.17,17689.68,"82280000"
"1868",2016-06-06,17920.33,17825.69,17949.68,17822.81,"71870000"
"1869",2016-06-07,17938.28,17936.22,18003.23,17936.22,"78750000"
"1870",2016-06-08,18005.05,17931.91,18016,17931.91,"71260000"
"1871",2016-06-09,17985.19,17969.98,18005.22,17915.88,"69690000"
"1872",2016-06-10,17865.34,17938.82,17938.82,17812.34,"90540000"
"1873",2016-06-13,17732.48,17830.5,17893.28,17731.35,"101690000"
"1874",2016-06-14,17674.82,17710.77,17733.92,17595.79,"93740000"
"1875",2016-06-15,17640.17,17703.65,17762.96,17629.01,"94130000"
"1876",2016-06-16,17733.1,17602.23,17754.91,17471.29,"91950000"
"1877",2016-06-17,17675.16,17733.44,17733.44,17602.78,"248680000"
"1878",2016-06-20,17804.87,17736.87,17946.36,17736.87,"99380000"
"1879",2016-06-21,17829.73,17827.33,17877.84,17799.8,"85140000"
"1880",2016-06-22,17780.83,17832.67,17920.16,17770.36,"89440000"
"1881",2016-06-23,18011.07,17844.11,18011.07,17844.11,"98110000"
"1882",2016-06-24,17400.75,17946.63,17946.63,17356.34,"2.39e+08"
"1883",2016-06-27,17140.24,17355.21,17355.21,17063.08,"138740000"
"1884",2016-06-28,17409.72,17190.51,17409.72,17190.51,"112190000"
"1885",2016-06-29,17694.68,17456.02,17704.51,17456.02,"106380000"
"1886",2016-06-30,17929.99,17712.76,17930.61,17711.8,"133030000"
"1887",2016-07-01,17949.37,17924.24,18002.38,17916.91,"82160000"
"1888",2016-07-05,17840.62,17904.45,17904.45,17785.28,"103670000"
"1889",2016-07-06,17918.62,17807.47,17926.91,17713.45,"9.3e+07"
"1890",2016-07-07,17895.88,17924.24,17984.95,17816.65,"81580000"
"1891",2016-07-08,18146.74,17971.22,18166.77,17971.22,"93460000"
"1892",2016-07-11,18226.93,18161.53,18283.9,18161.53,"80880000"
"1893",2016-07-12,18347.67,18259.12,18371.95,18259.12,"90210000"
"1894",2016-07-13,18372.12,18356.78,18390.16,18315.76,"80920000"
"1895",2016-07-14,18506.41,18414.3,18537.57,18414.3,"87050000"
"1896",2016-07-15,18516.55,18508.88,18557.43,18471.62,"123690000"
"1897",2016-07-18,18533.05,18521.55,18556.13,18489.84,"75540000"
"1898",2016-07-19,18559.01,18503.12,18562.53,18495.11,"85840000"
"1899",2016-07-20,18595.03,18582.7,18622.01,18555.65,"93230000"
"1900",2016-07-21,18517.23,18589.96,18590.44,18469.67,"86800000"
"1901",2016-07-22,18570.85,18524.15,18571.3,18491.59,"87710000"
"1902",2016-07-25,18493.06,18554.49,18555.69,18452.62,"76810000"
"1903",2016-07-26,18473.75,18497.37,18522.47,18387.22,"85370000"
