"","Nikkei 225 (N225)_history.csv Date","Nikkei 225 (N225)_history.csv Price","Nikkei 225 (N225)_history.csv Open","Nikkei 225 (N225)_history.csv High","Nikkei 225 (N225)_history.csv Low","Nikkei 225 (N225)_history.csv Volume"
"1017",2013-02-28,11559.36,11396.73,11563.75,11392.56,"217250"
"1018",2013-03-01,11606.38,11464.71,11648.63,11464.71,"190110"
"1019",2013-03-04,11652.29,11695.45,11767.68,11613.59,"205190"
"1020",2013-03-05,11683.45,11732.57,11779.42,11666.38,"198880"
"1021",2013-03-06,11932.27,11811.06,11933.82,11803.09,"200930"
"1022",2013-03-07,11968.08,12037.25,12069.6,11946.01,"215980"
"1023",2013-03-08,12283.62,12066.5,12283.62,12065.09,"364600"
"1024",2013-03-11,12349.05,12363.09,12403.95,12300.83,"332320"
"1025",2013-03-12,12314.81,12433.6,12461.97,12314.81,"306500"
"1026",2013-03-13,12239.66,12252.29,12339.45,12234.48,"195940"
"1027",2013-03-14,12381.19,12332.16,12395.73,12248.65,"171510"
"1028",2013-03-15,12560.95,12437.68,12560.95,12434.47,"251010"
"1029",2013-03-18,12220.63,12365.44,12373.17,12220.63,"195870"
"1030",2013-03-19,12468.23,12405.61,12491.16,12401.12,"165250"
"1031",2013-03-21,12635.69,12592,12650.26,12586.06,"193340"
"1032",2013-03-22,12338.53,12498.51,12522.05,12338.53,"168030"
"1033",2013-03-25,12546.46,12507.61,12594.36,12480.42,"169890"
"1034",2013-03-26,12471.62,12461.79,12540.12,12456.04,"187540"
"1035",2013-03-27,12493.79,12476.58,12502.26,12442.39,"152920"
"1036",2013-03-28,12335.96,12457.13,12462.86,12286.37,"204560"
"1037",2013-03-29,12397.91,12405.53,12425.96,12319.75,"181520"
"1038",2013-04-01,12135.02,12371.34,12384.83,12133,"198160"
"1039",2013-04-02,12003.43,12051.57,12107.4,11805.78,"274580"
"1040",2013-04-03,12362.2,12112.09,12362.2,12102.05,"235070"
"1041",2013-04-04,12634.54,12188.22,12634.54,12075.97,"309420"
"1042",2013-04-05,12833.64,12880.82,13225.62,12831.1,"477390"
"1043",2013-04-08,13192.59,13082.61,13225.22,13080.29,"313900"
"1044",2013-04-09,13192.35,13309.13,13331.39,13151.73,"287550"
"1045",2013-04-10,13288.13,13177.31,13325.15,13177.31,"359840"
"1046",2013-04-11,13549.16,13444.95,13549.16,13384.11,"368490"
"1047",2013-04-12,13485.14,13568.25,13568.25,13402.86,"351970"
"1048",2013-04-15,13275.66,13345.86,13408.29,13257.86,"321040"
"1049",2013-04-16,13221.44,13023.91,13312.23,13004.46,"321610"
"1050",2013-04-17,13382.89,13330.5,13397.5,13318.69,"277440"
