"","Nifty 50 (NSEI)_history.csv Date","Nifty 50 (NSEI)_history.csv Price","Nifty 50 (NSEI)_history.csv Open","Nifty 50 (NSEI)_history.csv High","Nifty 50 (NSEI)_history.csv Low","Nifty 50 (NSEI)_history.csv Volume"
"1053",2013-03-26,5641.6,5613.75,5655.3,5612.05,"126500000"
"1054",2013-03-28,5682.55,5647.75,5692.95,5604.85,"209660000"
"1055",2013-04-01,5704.4,5697.35,5720.95,5675.9,"97780000"
"1056",2013-04-02,5748.1,5701.7,5754.6,5687.15,"106420000"
"1057",2013-04-03,5672.9,5740.2,5744.95,5650.1,"140710000"
"1058",2013-04-04,5574.75,5640.65,5644.45,5565.65,"134590000"
"1059",2013-04-05,5553.25,5568.1,5577.3,5534.7,"137460000"
"1060",2013-04-08,5542.95,5550.5,5569.2,5537.05,"97020000"
"1061",2013-04-09,5495.1,5568.75,5603.05,5487,"138180000"
"1062",2013-04-10,5558.7,5536.25,5569.25,5477.2,"128560000"
"1063",2013-04-11,5594,5601.65,5610.65,5542.85,"146830000"
"1064",2013-04-12,5528.55,5520.7,5544.5,5494.9,"127320000"
"1065",2013-04-15,5568.4,5508.5,5592.85,5500.3,"142920000"
"1066",2013-04-16,5688.95,5562.45,5699.25,5555.85,"142680000"
"1067",2013-04-17,5688.7,5708.65,5732.15,5669,"154580000"
"1068",2013-04-18,5783.1,5682.7,5794.35,5681.85,"149880000"
"1069",2013-04-22,5834.4,5789.85,5844.85,5789.8,"135100000"
"1070",2013-04-23,5836.9,5843.1,5844.3,5791.55,"132220000"
"1071",2013-04-25,5916.3,5856.1,5924.6,5853.3,"199600000"
"1072",2013-04-26,5871.45,5899.75,5907.05,5860.5,"141310000"
"1073",2013-04-29,5904.1,5877.6,5918.65,5868.8,"118880000"
"1074",2013-04-30,5930.2,5932.6,5962.3,5867.8,"153190000"
"1075",2013-05-02,5999.35,5911.4,6019.45,5910.95,"162380000"
"1076",2013-05-03,5944,5993.5,6000.3,5930.15,"145750000"
"1077",2013-05-06,5971.05,5944.9,5976.5,5928.45,"110170000"
"1078",2013-05-07,6043.55,5983.45,6050.5,5982.95,"136370000"
"1079",2013-05-08,6069.3,6064.15,6083.55,6024.95,"122280000"
"1080",2013-05-09,6050.15,6078.35,6084.7,6040.45,"1.1e+08"
"1081",2013-05-10,6094.75,6046.25,6105.3,6045.6,"111350000"
"1082",2013-05-11,6107.25,6088.2,6114.55,6084.15,"7990000"
"1083",2013-05-13,5980.45,6098.2,6104.95,5972.9,"107950000"
"1084",2013-05-14,5995.4,5989.7,6026.2,5970.05,"119270000"
"1085",2013-05-15,6146.75,6018.85,6157.1,6018.85,"153890000"
