"","CSE All-Share (CSE)_history.csv Date","CSE All-Share (CSE)_history.csv Price","CSE All-Share (CSE)_history.csv Open","CSE All-Share (CSE)_history.csv High","CSE All-Share (CSE)_history.csv Low","CSE All-Share (CSE)_history.csv Volume"
"1512",2015-03-31,6820.34,6777.6,6841.54,6760.04,"28010000"
"1513",2015-04-01,6916.08,6815.67,6916.08,6815.17,"41030000"
"1514",2015-04-02,6948.14,6921.72,6967.79,6916.08,"38830000"
"1515",2015-04-06,6917.51,6948.76,6959.32,6917.51,"10800000"
"1516",2015-04-07,6927.25,6916.94,6938.17,6903.21,"11740000"
"1517",2015-04-08,6913.73,6927.25,6935.11,6906.74,"20460000"
"1518",2015-04-09,6899.29,6914.78,6916.38,6899.29,"71270000"
"1519",2015-04-10,6901.06,6899.04,6914.65,6896.28,"74970000"
"1520",2015-04-15,6981.03,6903.42,6981.03,6901.06,"24030000"
"1521",2015-04-16,7086.41,7082.14,7098.26,7066.52,"17310000"
"1522",2015-04-17,7086.41,7082.14,7098.26,7066.52,"17310000"
"1523",2015-04-20,7080.38,7088.39,7096.17,7043.47,"19650000"
"1524",2015-04-21,7098.6,7078.99,7107.4,7078.38,"21600000"
"1525",2015-04-22,7117.13,7096.7,7117.13,7069.41,"23510000"
"1526",2015-04-23,7114.39,7119.61,7125.73,7103.62,"22880000"
"1527",2015-04-24,7129.78,7115.29,7144.98,7114.39,"28310000"
"1528",2015-04-27,7125.12,7129.82,7132.04,7111.24,"61830000"
"1529",2015-04-28,7134.43,7126.41,7144.8,7125.12,"33500000"
"1530",2015-04-29,7173.37,7139.41,7185.01,7134.43,"38390000"
"1531",2015-04-30,7179,7180.29,7193.88,7172.43,"41420000"
"1532",2015-05-05,7202.11,7182.39,7206.47,7179,"28430000"
"1533",2015-05-06,7192.29,7203.53,7208.09,7180.55,"49830000"
"1534",2015-05-07,7212.9,7191.47,7212.9,7186.99,"80630000"
"1535",2015-05-08,7212.47,7214.3,7228.8,7212.28,"27990000"
"1536",2015-05-11,7213.63,7218.58,7222.48,7209.46,"20340000"
"1537",2015-05-12,7258.61,7210.58,7265.52,7210.58,"32970000"
"1538",2015-05-13,7245.05,7262.68,7272.41,7243.69,"52380000"
"1539",2015-05-14,7236.87,7244.15,7255.55,7234.86,"46340000"
"1540",2015-05-15,7258.67,7240.45,7267.1,7236.87,"32930000"
"1541",2015-05-18,7255.02,7260.84,7277.14,7246.53,"34360000"
"1542",2015-05-19,7284.76,7293.96,7302.34,7261.25,"37990000"
"1543",2015-05-20,7289.77,7267.81,7296.94,7266.2,"55460000"
"1544",2015-05-21,7273.69,7292.61,7299.87,7273.69,"51280000"
"1545",2015-05-22,7288.74,7276.04,7294.52,7273.57,"38060000"
"1546",2015-05-25,7284.76,7293.96,7302.34,7261.25,"37990000"
"1547",2015-05-26,7261.78,7293.59,7314.66,7261.78,"28830000"
"1548",2015-05-27,7253.5,7266.11,7277.05,7253.5,"34400000"
"1549",2015-05-28,7255.71,7255.76,7270.55,7253.36,"28840000"
"1550",2015-05-29,7220.29,7255.88,7270.33,7220.29,"39720000"
"1551",2015-06-01,7195.19,7228.67,7231.04,7195.19,"30560000"
"1552",2015-06-03,7149.46,7196.22,7199.81,7133.57,"34390000"
