"","Hang Seng (HSI)_history.csv Date","Hang Seng (HSI)_history.csv Price","Hang Seng (HSI)_history.csv Open","Hang Seng (HSI)_history.csv High","Hang Seng (HSI)_history.csv Low","Hang Seng (HSI)_history.csv Volume"
"1670",2015-09-24,21095.98,21304.9,21363.21,21053.5,"1.65e+09"
"1671",2015-09-25,21186.32,21070.39,21318.33,20957.99,"1.78e+09"
"1672",2015-09-29,20556.6,20579.22,20579.22,20368.12,"2.62e+09"
"1673",2015-09-30,20846.3,20795.93,20939.39,20683.11,"2.2e+09"
"1674",2015-10-02,21506.09,21172.94,21530.8,21130.11,"2.23e+09"
"1675",2015-10-05,21854.5,21930.97,21980.84,21739.9,"1.51e+09"
"1676",2015-10-06,21831.62,22169.1,22169.1,21719.29,"1.67e+09"
"1677",2015-10-07,22515.76,21884.73,22527.79,21817.42,"3.02e+09"
"1678",2015-10-08,22354.91,22588.69,22588.69,22201.11,"1.99e+09"
"1679",2015-10-09,22458.8,22615.94,22807.86,22440.88,"2.48e+09"
"1680",2015-10-12,22730.93,22614.33,22779.5,22562.26,"1.93e+09"
"1681",2015-10-13,22600.46,22677.6,22798.9,22515.73,"1.76e+09"
"1682",2015-10-14,22439.91,22398.82,22576.5,22356.56,"1.39e+09"
"1683",2015-10-15,22888.17,22667.42,22940.25,22567.65,"1.98e+09"
"1684",2015-10-16,23067.37,23133.59,23178.14,22953.56,"1.98e+09"
"1685",2015-10-19,23075.61,23085.61,23100.66,22913.6,"1.3e+09"
"1686",2015-10-20,22989.22,22991.6,23057.93,22843.04,"1.26e+09"
"1687",2015-10-22,22845.37,22795.58,22869.59,22727.59,"1.42e+09"
"1688",2015-10-23,23151.94,23220.38,23220.38,23088.03,"1.54e+09"
"1689",2015-10-26,23116.25,23423.64,23423.64,23066.94,"1.51e+09"
"1690",2015-10-27,23142.73,23053.12,23143.88,22885.22,"1.58e+09"
"1691",2015-10-28,22956.57,23070.7,23120.25,22923.66,"1.42e+09"
"1692",2015-10-29,22819.94,23054.53,23054.53,22811.32,"1.81e+09"
"1693",2015-10-30,22640.04,22785.86,22847.16,22612.56,"1.58e+09"
"1694",2015-11-02,22370.04,22502.28,22605.8,22332.71,"1.69e+09"
"1695",2015-11-03,22568.43,22603.15,22697,22560.17,"1.52e+09"
"1696",2015-11-04,23053.57,22737.44,23342.07,22737.44,"2.68e+09"
"1697",2015-11-05,23051.04,23045.1,23180.27,22960.62,"1.55e+09"
"1698",2015-11-06,22867.33,22914.2,22922.79,22791.91,"1.44e+09"
"1699",2015-11-09,22726.77,22753.51,22970.83,22689.26,"1.59e+09"
"1700",2015-11-10,22401.7,22505.7,22534.92,22339.69,"1.85e+09"
"1701",2015-11-11,22352.17,22394.15,22479.46,22324.41,"1.46e+09"
"1702",2015-11-12,22888.92,22477.6,22980.97,22454.96,"1.9e+09"
"1703",2015-11-13,22396.14,22494.09,22519.33,22318.62,"2.06e+09"
"1704",2015-11-16,22010.82,21958.28,22127.38,21958.28,"1.87e+09"
"1705",2015-11-17,22264.25,22315.18,22497.33,22243.96,"1.68e+09"
"1706",2015-11-18,22188.26,22331.77,22349.73,22163.28,"1.25e+09"
"1707",2015-11-19,22500.22,22423.88,22559.06,22416,"1.42e+09"
"1708",2015-11-20,22754.72,22510.45,22790.07,22412.03,"1.27e+09"
"1709",2015-11-23,22665.9,22760.05,22802.71,22619.68,"1.11e+09"
"1710",2015-11-24,22587.63,22593.09,22629.75,22433.51,"1.23e+09"
"1711",2015-11-25,22498,22533.53,22617.21,22436.01,"1.56e+09"
"1712",2015-11-26,22488.94,22749.6,22787.5,22453.69,"1.16e+09"
"1713",2015-11-27,22068.32,22555.42,22555.42,22051.01,"2.11e+09"
"1714",2015-11-30,21996.42,21974.81,22195.25,21907.35,"2.93e+09"
"1715",2015-12-01,22381.35,22197.81,22477.51,22143.57,"2.05e+09"
"1716",2015-12-02,22479.69,22471.35,22563.47,22368.66,"1.72e+09"
"1717",2015-12-03,22417.01,22327.04,22485.25,22327.04,"1.31e+09"
"1718",2015-12-04,22235.89,22142.11,22242.49,22108.46,"1.66e+09"
"1719",2015-12-07,22203.22,22336.32,22352.25,22200.55,"1.33e+09"
"1720",2015-12-08,21905.13,22058.55,22058.55,21765.62,"1.87e+09"
"1721",2015-12-09,21803.76,21773.77,21872.33,21755.69,"1.41e+09"
"1722",2015-12-10,21704.61,21714.23,21880.19,21668.12,"1.64e+09"
"1723",2015-12-11,21464.05,21719.17,21731.39,21440.7,"1.44e+09"
"1724",2015-12-14,21309.85,21063.28,21378.19,21010.26,"1.77e+09"
"1725",2015-12-15,21274.37,21215.54,21442.21,21215.54,"1.62e+09"
"1726",2015-12-16,21701.21,21557.73,21772.79,21557.73,"1.7e+09"
"1727",2015-12-17,21872.06,21841.09,22005.19,21763.76,"1.65e+09"
"1728",2015-12-18,21755.56,21656.56,21956.49,21625.82,"1.83e+09"
"1729",2015-12-21,21791.68,21641.17,21871.22,21641.17,"1.34e+09"
"1730",2015-12-22,21830.02,21846.9,21870.31,21750.74,"945080000"
"1731",2015-12-23,22040.59,21869.4,22103.63,21846.48,"1.09e+09"
"1732",2015-12-24,22138.13,22207.82,22217.45,22128.72,"734830000"
"1733",2015-12-28,21919.62,22151.73,22151.73,21880.51,"901160000"
"1734",2015-12-29,21999.62,21923.27,22024.28,21881.71,"790490000"
"1735",2015-12-30,21882.15,22094.59,22114.56,21868.03,"1.09e+09"
"1736",2015-12-31,21914.4,21892.25,21970.33,21864.12,"525970000"
"1737",2016-01-04,21327.12,21782.62,21794.84,21227.61,"1.77e+09"
"1738",2016-01-05,21188.72,21318.69,21452.74,21095.9,"1.53e+09"
"1739",2016-01-06,20980.81,21142.63,21199.62,20947.3,"1.7e+09"
"1740",2016-01-07,20333.34,20772.6,20826.44,20323.97,"3.07e+09"
"1741",2016-01-08,20453.71,20491.88,20596.42,20324.62,"2.14e+09"
"1742",2016-01-11,19888.5,19997.42,20068.78,19865.18,"2.19e+09"
"1743",2016-01-12,19711.76,20030.03,20130.8,19694.99,"1.89e+09"
"1744",2016-01-13,19934.88,20028.86,20234.78,19850.73,"1.84e+09"
"1745",2016-01-14,19817.41,19578.92,19893.88,19509.08,"1.84e+09"
"1746",2016-01-15,19520.77,19781.46,19828.93,19500.38,"1.99e+09"
"1747",2016-01-18,19237.45,19287.38,19439.49,19195.56,"2.1e+09"
"1748",2016-01-19,19635.81,19283.57,19647.75,19204.22,"1.88e+09"
"1749",2016-01-20,18886.3,19332.22,19332.22,18833.88,"2.54e+09"
"1750",2016-01-21,18542.15,19079.13,19238.27,18534.3,"2.69e+09"
"1751",2016-01-22,19080.51,19000.79,19152.8,18769.61,"2.46e+09"
"1752",2016-01-25,19340.14,19341.41,19490.27,19291.91,"1.83e+09"
"1753",2016-01-26,18860.8,19068.84,19098.07,18811.83,"1.93e+09"
"1754",2016-01-27,19052.45,19211.86,19216.99,18931.34,"1.99e+09"
"1755",2016-01-28,19195.83,19093.77,19223.59,18982.22,"2e+09"
"1756",2016-01-29,19683.11,19138.42,19709.99,19130.59,"2.42e+09"
