"","SMI (SSMI)_history.csv Date","SMI (SSMI)_history.csv Price","SMI (SSMI)_history.csv Open","SMI (SSMI)_history.csv High","SMI (SSMI)_history.csv Low","SMI (SSMI)_history.csv Volume"
"645",2011-07-08,6152.69,6227.39,6248.49,6147.85,"56560000"
"646",2011-07-11,6053,6135.63,6138.84,6024.11,"57320000"
"647",2011-07-12,6014.84,5964.5,6036.4,5898.68,"80680000"
"648",2011-07-13,6025.23,5996.89,6048.37,5992.79,"54860000"
"649",2011-07-14,5980.97,5966.24,6014.03,5960.78,"43280000"
"650",2011-07-15,5938.06,5939.54,5968.95,5908.47,"65370000"
"651",2011-07-18,5826.26,5891.53,5915,5813.05,"63400000"
"652",2011-07-19,5896.55,5857.18,5923.59,5856.56,"67040000"
"653",2011-07-20,5966.54,5941.13,5967.49,5912.7,"52090000"
"654",2011-07-21,6042.06,6002.82,6066.96,5929.62,"77050000"
"655",2011-07-22,6031.93,6081.78,6098.08,6010.02,"56300000"
"656",2011-07-25,6017.49,6000.66,6035.81,5987.84,"47120000"
"657",2011-07-26,5990.18,6027.88,6050.54,5962.84,"53170000"
"658",2011-07-27,5904.47,5956.06,5984.95,5887.43,"60720000"
"659",2011-07-28,5871.41,5838.02,5892.62,5825.99,"64570000"
"660",2011-07-29,5783.35,5792.13,5820.07,5723.17,"80220000"
"661",2011-08-02,5546.94,5658.23,5691.29,5535.65,"105920000"
"662",2011-08-03,5483.15,5482.1,5616.75,5444.05,"107580000"
"663",2011-08-04,5285.25,5559.72,5578.25,5285.25,"113790000"
"664",2011-08-05,5172.06,5082.33,5309.42,5075.1,"139740000"
"665",2011-08-08,4967.99,5118.75,5263.2,4967.99,"112230000"
"666",2011-08-09,4997.92,4957.69,5080.6,4695.31,"152270000"
"667",2011-08-10,4791.96,5104.84,5112.36,4788.22,"143730000"
"668",2011-08-11,5032.75,4926.05,5048.08,4709.71,"140790000"
"669",2011-08-12,5252.81,5036.42,5304.47,4944.42,"108050000"
"670",2011-08-15,5324.73,5361.16,5385.05,5285.85,"60350000"
"671",2011-08-16,5373.3,5291.3,5373.3,5243.12,"58300000"
"672",2011-08-17,5421.21,5347.1,5471.14,5284.98,"62760000"
"673",2011-08-18,5196,5359.45,5396.97,5128.79,"84750000"
"674",2011-08-19,5093.75,5162.5,5174.91,4955.74,"104670000"
"675",2011-08-22,5144.02,5058.46,5255.93,5056.53,"61100000"
"676",2011-08-23,5230.58,5220.28,5266.52,5166.3,"59060000"
"677",2011-08-24,5328.49,5258.66,5369.23,5210.1,"57510000"
"678",2011-08-25,5298.18,5376.38,5401.62,5260.71,"60340000"
"679",2011-08-26,5323.12,5287.73,5353.32,5168.32,"58860000"
"680",2011-08-29,5446.47,5410.46,5475.45,5391.1,"39090000"
"681",2011-08-30,5449.16,5469.15,5485.42,5418.24,"57280000"
"682",2011-08-31,5528.52,5479,5541.18,5449.23,"66710000"
"683",2011-09-01,5531.54,5532.94,5572.61,5460.07,"57980000"
"684",2011-09-02,5359.67,5447.78,5460.67,5316.6,"59720000"
"685",2011-09-05,5142.99,5244.77,5249.5,5128.78,"67490000"
"686",2011-09-06,5367.24,5151.7,5414.97,5151.61,"99400000"
"687",2011-09-07,5501.26,5480.87,5501.26,5420.98,"6.5e+07"
"688",2011-09-08,5528.91,5495.11,5562.94,5455.88,"56380000"
"689",2011-09-09,5430.77,5520.11,5536.61,5430.77,"58010000"
"690",2011-09-12,5303.14,5333.71,5348.5,5246.03,"68970000"
"691",2011-09-13,5359.14,5367.01,5388.46,5280.24,"79030000"
"692",2011-09-14,5417.89,5322.66,5429.37,5321.38,"77200000"
"693",2011-09-15,5433.48,5425.91,5493.26,5403.83,"144980000"
"694",2011-09-16,5452.88,5462.04,5500.94,5449.2,"218380000"
"695",2011-09-19,5360.56,5400.48,5425.42,5347.48,"65870000"
"696",2011-09-20,5471.4,5336.33,5473.7,5330.31,"53840000"
"697",2011-09-21,5475.34,5470.94,5516.59,5447.47,"52440000"
"698",2011-09-22,5288.48,5372.99,5404.56,5269.51,"78780000"
"699",2011-09-23,5298.83,5337.82,5338.43,5135.45,"79870000"
"700",2011-09-26,5401.01,5246.71,5455.34,5246.19,"80840000"
"701",2011-09-27,5564.62,5496.14,5575.07,5487.27,"71670000"
"702",2011-09-28,5551.65,5521.32,5619.75,5515.78,"59430000"
"703",2011-09-29,5608.6,5526.03,5637.01,5521.69,"66130000"
"704",2011-09-30,5531.74,5580.04,5580.77,5488.16,"66430000"
"705",2011-10-03,5495.69,5460.63,5526.2,5426.82,"57430000"
"706",2011-10-04,5444.55,5443.83,5458.83,5361.9,"78980000"
"707",2011-10-05,5504.99,5522.03,5532.05,5462.25,"61070000"
"708",2011-10-06,5640.07,5550.29,5640.07,5545.29,"62560000"
"709",2011-10-07,5652.23,5631.93,5685.26,5590.73,"60640000"
"710",2011-10-10,5718.56,5689.28,5729.59,5655.92,"40660000"
"711",2011-10-11,5732.19,5707.64,5743.95,5674.41,"41030000"
"712",2011-10-12,5781.13,5723.12,5789.86,5705.24,"60200000"
"713",2011-10-13,5713.17,5756.62,5775.75,5694.87,"62680000"
"714",2011-10-14,5761.12,5734.13,5804.94,5708.99,"45160000"
"715",2011-10-17,5723.41,5790.33,5816.27,5704.94,"44150000"
"716",2011-10-18,5682.51,5685.55,5700.93,5648.62,"49860000"
"717",2011-10-19,5699.98,5716.14,5734.2,5686.64,"42490000"
"718",2011-10-20,5657.66,5665.29,5722.17,5650.04,"57530000"
"719",2011-10-21,5753.52,5687.48,5759.93,5644.8,"65360000"
"720",2011-10-24,5788.63,5771.64,5804.24,5746.73,"41160000"
"721",2011-10-25,5708.79,5769.72,5798.17,5687.81,"60200000"
"722",2011-10-26,5700.5,5686.26,5735.42,5662.43,"45650000"
"723",2011-10-27,5823,5815.31,5857.12,5781.08,"94890000"
"724",2011-10-28,5852.66,5830.46,5862.04,5822.14,"54910000"
"725",2011-10-31,5731.27,5814.99,5832.06,5731.27,"57680000"
"726",2011-11-01,5588.57,5618.58,5646.85,5522.18,"84620000"
"727",2011-11-02,5611.05,5618.88,5643.86,5566.06,"50560000"
"728",2011-11-03,5668.05,5547.07,5678.11,5546.31,"66650000"
"729",2011-11-04,5659.83,5688.52,5711.29,5626.62,"50010000"
"730",2011-11-07,5645.96,5630.32,5674.46,5603.66,"43920000"
"731",2011-11-08,5682.65,5661.88,5725.11,5658.23,"45010000"
"732",2011-11-09,5607.85,5726.57,5730.25,5584.28,"59920000"
"733",2011-11-10,5565.78,5544.97,5628.6,5537.16,"51760000"
"734",2011-11-11,5649.03,5588.78,5662.1,5568.96,"38780000"
"735",2011-11-14,5661.71,5675.52,5682.61,5618.52,"36530000"
"736",2011-11-15,5664.91,5638.28,5699.06,5593.83,"54350000"
"737",2011-11-16,5685.8,5643.64,5717.75,5637.34,"43560000"
"738",2011-11-17,5644.62,5661.91,5677.06,5615.27,"50960000"
"739",2011-11-18,5614.61,5620.25,5660.12,5611.61,"56870000"
"740",2011-11-21,5477.26,5577.54,5589.53,5466.09,"55590000"
"741",2011-11-22,5447.66,5500.09,5519.79,5443.17,"52790000"
"742",2011-11-23,5386.14,5407.78,5455.06,5386.14,"49740000"
"743",2011-11-24,5356.96,5398.1,5414.05,5322.72,"41760000"
"744",2011-11-25,5395.61,5341.91,5436.43,5307.76,"39900000"
"745",2011-11-28,5522.66,5434.99,5530.74,5428.75,"48070000"
"746",2011-11-29,5531.24,5511.98,5552.45,5485.4,"44710000"
"747",2011-11-30,5652.31,5485.82,5652.7,5485.28,"95390000"
"748",2011-12-01,5681.57,5665.41,5734.85,5640.29,"51240000"
"749",2011-12-02,5718.85,5745.46,5766.45,5697.28,"59380000"
"750",2011-12-05,5739.86,5738.57,5756.05,5713.19,"40560000"
