"","S&P TSX Composite (GSPTSE)_history.csv Date","S&P TSX Composite (GSPTSE)_history.csv Price","S&P TSX Composite (GSPTSE)_history.csv Open","S&P TSX Composite (GSPTSE)_history.csv High","S&P TSX Composite (GSPTSE)_history.csv Low","S&P TSX Composite (GSPTSE)_history.csv Volume"
"1006",2013-01-04,12540.81,12435.12,12540.81,12442.84,"133010000"
"1007",2013-01-07,12499.55,12503.24,12540.81,12448.21,"152630000"
"1008",2013-01-08,12504.81,12490.37,12504.81,12456,"168870000"
"1009",2013-01-09,12522.24,12508.13,12528.86,12484.8,"166360000"
"1010",2013-01-10,12599.74,12571.95,12618.43,12523.56,"207720000"
"1011",2013-01-11,12602.18,12600.9,12603.15,12545.03,"155720000"
"1012",2013-01-14,12603.09,12627.41,12636.68,12582.15,"216470000"
"1013",2013-01-15,12641.97,12569.21,12642.03,12569.77,"186580000"
"1014",2013-01-16,12608.82,12602.47,12638.42,12580.32,"143640000"
"1015",2013-01-17,12674.73,12614.3,12684.07,12608.82,"160680000"
"1016",2013-01-18,12725.69,12701.96,12751.16,12675.61,"192760000"
"1017",2013-01-21,12794.25,12748.12,12798.92,12725.69,"97170000"
"1018",2013-01-22,12824.63,12774.71,12824.63,12758.64,"178760000"
"1019",2013-01-23,12794.05,12779.66,12828.93,12792.07,"156830000"
"1020",2013-01-24,12823.62,12802.32,12863.47,12794.05,"176340000"
"1021",2013-01-25,12816.63,12851.52,12875.35,12808.66,"163200000"
"1022",2013-01-28,12815.91,12860.36,12859.93,12812.06,"154400000"
"1023",2013-01-29,12830.56,12817.4,12849.16,12812.99,"170440000"
"1024",2013-01-30,12794.44,12846.29,12895.28,12773.62,"175690000"
"1025",2013-01-31,12685.24,12760.67,12794.44,12682.69,"201180000"
"1026",2013-02-01,12768.83,12741.18,12783.13,12691.92,"163620000"
"1027",2013-02-04,12717.62,12683.73,12768.83,12668.81,"122960000"
"1028",2013-02-05,12745.65,12740.35,12786.79,12717.62,"157060000"
"1029",2013-02-06,12761.59,12713.96,12783.73,12724.38,"1.64e+08"
"1030",2013-02-07,12755.92,12762.49,12790.11,12737.22,"183250000"
"1031",2013-02-08,12801.23,12773,12823.5,12756.24,"140530000"
"1032",2013-02-11,12748.15,12789.18,12800.69,12748.15,"133830000"
"1033",2013-02-12,12789.02,12746.55,12815.39,12746.82,"166800000"
"1034",2013-02-13,12775.28,12813.5,12814.53,12763.44,"176900000"
"1035",2013-02-14,12721.79,12769.77,12775.05,12699.68,"180840000"
"1036",2013-02-15,12686.63,12686.51,12719.16,12667.7,"190270000"
"1037",2013-02-19,12810.21,12722.16,12810.21,12686.18,"175220000"
"1038",2013-02-20,12714.05,12788.4,12809.07,12684.58,"251710000"
"1039",2013-02-21,12639.97,12676.24,12714.05,12602.54,"234480000"
"1040",2013-02-22,12701.63,12660.39,12707.18,12641.65,"143580000"
"1041",2013-02-25,12650.87,12760.86,12832.71,12648.94,"185360000"
"1042",2013-02-26,12660.44,12659.68,12673,12605.78,"182780000"
"1043",2013-02-27,12732.39,12624.76,12738.03,12624.76,"179290000"
"1044",2013-02-28,12821.83,12741,12821.83,12725.98,"196030000"
"1045",2013-03-01,12773.12,12798.74,12819.43,12736.13,"176710000"
"1046",2013-03-04,12707.41,12765.8,12773.12,12705.02,"161520000"
"1047",2013-03-05,12736.04,12783.58,12820.11,12707.41,"172740000"
"1048",2013-03-06,12831.96,12793.79,12833.49,12736.26,"181730000"
"1049",2013-03-07,12826.52,12853.52,12869.64,12814.31,"178960000"
"1050",2013-03-08,12835.61,12833.28,12843.71,12795.34,"220260000"
"1051",2013-03-11,12858.49,12824.9,12865.32,12812.82,"136220000"
"1052",2013-03-12,12878.58,12879.87,12904.71,12853.9,"211010000"
"1053",2013-03-13,12744.11,12873.47,12878.59,12725.75,"169070000"
"1054",2013-03-14,12799.91,12751.6,12816.78,12736.11,"201650000"
"1055",2013-03-15,12830.03,12795.24,12865.95,12789.95,"344800000"
"1056",2013-03-18,12781.76,12788.85,12830.03,12759.09,"196870000"
"1057",2013-03-19,12773.87,12780.82,12826.26,12752.11,"174530000"
"1058",2013-03-20,12826.55,12816.31,12828.55,12776.02,"190050000"
"1059",2013-03-21,12747.87,12826.53,12831.15,12747.48,"174730000"
"1060",2013-03-22,12757.35,12751.15,12818.43,12745.35,"139540000"
"1061",2013-03-25,12680.71,12783.74,12788.41,12668.62,"185890000"
"1062",2013-03-26,12706.38,12686.65,12709.84,12651.31,"137280000"
"1063",2013-03-27,12699.65,12673.6,12712.41,12622.5,"148620000"
"1064",2013-03-28,12749.9,12661.32,12764.92,12647.24,"169490000"
"1065",2013-04-01,12695.14,12751.6,12750.96,12685.5,"101530000"
"1066",2013-04-02,12682.1,12679.99,12718.32,12672.06,"150450000"
"1067",2013-04-03,12422.12,12678.9,12688.64,12390.79,"225500000"
"1068",2013-04-04,12363.05,12404.82,12422.12,12338.32,"1.79e+08"
"1069",2013-04-05,12331.85,12293.66,12363,12244.23,"186500000"
"1070",2013-04-08,12344.56,12325.13,12351.98,12290.34,"131840000"
"1071",2013-04-09,12484.05,12369.75,12497.96,12344.81,"170730000"
"1072",2013-04-10,12534.91,12503.13,12555.68,12485.69,"195270000"
"1073",2013-04-11,12481.37,12523.36,12534.91,12458.64,"139520000"
"1074",2013-04-12,12337.59,12404.74,12481.37,12300,"177980000"
"1075",2013-04-15,12004.88,12184.11,12335.9,11998.02,"302810000"
"1076",2013-04-16,12119.92,12061.24,12124.76,12002.54,"181110000"
"1077",2013-04-17,11947.29,12086.03,12116.14,11916.64,"230910000"
"1078",2013-04-18,11996.34,12024.21,12036.52,11918.88,"194540000"
"1079",2013-04-19,12065.55,11987.44,12067.07,11987.21,"156910000"
"1080",2013-04-22,12090.68,12117.81,12122.85,12026.9,"131460000"
"1081",2013-04-23,12090.94,12097.48,12127.07,12031.64,"97390000"
"1082",2013-04-24,12270.43,12127.71,12271.29,12090.94,"1.82e+08"
"1083",2013-04-25,12329.51,12308.59,12370.74,12270.43,"222020000"
"1084",2013-04-26,12220.2,12306.14,12329.51,12181.18,"148580000"
"1085",2013-04-29,12312.67,12283.32,12322.93,12220.2,"123660000"
"1086",2013-04-30,12456.5,12310.69,12460.47,12244.2,"215980000"
"1087",2013-05-01,12321.29,12408,12454.92,12285.11,"209320000"
"1088",2013-05-02,12379.64,12326.39,12415.79,12275.98,"177850000"
"1089",2013-05-03,12438.03,12459.89,12533.83,12381.3,"158240000"
"1090",2013-05-06,12453.92,12480.17,12505.37,12440.8,"1.43e+08"
"1091",2013-05-07,12464.11,12443.04,12489.8,12416.29,"186240000"
"1092",2013-05-08,12585.05,12480.1,12598.39,12464.11,"192500000"
"1093",2013-05-09,12543.9,12584.67,12601.07,12530,"208950000"
"1094",2013-05-10,12589.09,12517.15,12589.09,12511.94,"170820000"
"1095",2013-05-13,12529.55,12572.95,12586.25,12479.11,"161560000"
"1096",2013-05-14,12577.05,12529.18,12600.7,12529.41,"170080000"
"1097",2013-05-15,12473.65,12526.07,12575.01,12439.13,"164960000"
"1098",2013-05-16,12507.6,12473.39,12562.98,12463.4,"162650000"
"1099",2013-05-17,12613.05,12487.25,12636.31,12491.45,"171380000"
"1100",2013-05-21,12742.43,12669.51,12806.54,12613.05,"241990000"
"1101",2013-05-22,12752.5,12801.49,12889.26,12735.58,"219500000"
"1102",2013-05-23,12658.09,12648.79,12748.57,12598.87,"159310000"
"1103",2013-05-24,12667.22,12617.19,12670.65,12620.01,"139670000"
"1104",2013-05-27,12696.37,12688.57,12703.13,12662.76,"54710000"
"1105",2013-05-28,12750.52,12755.63,12798.54,12704.66,"204660000"
"1106",2013-05-29,12732.61,12677.44,12750.52,12658.57,"176310000"
"1107",2013-05-30,12746.55,12745.22,12767.55,12725.9,"203420000"
"1108",2013-05-31,12650.42,12691.36,12745.66,12620.08,"295770000"
"1109",2013-06-03,12609.8,12661.22,12681.22,12570.91,"168850000"
"1110",2013-06-04,12593.97,12600.46,12636.38,12568.94,"142090000"
"1111",2013-06-05,12443.65,12541.01,12588.64,12422.39,"209500000"
"1112",2013-06-06,12409.33,12406.76,12453.85,12327.66,"180620000"
"1113",2013-06-07,12373.3,12388.49,12412.96,12310.27,"158850000"
