"","RTSI (IRTS)_history.csv Date","RTSI (IRTS)_history.csv Price","RTSI (IRTS)_history.csv Open","RTSI (IRTS)_history.csv High","RTSI (IRTS)_history.csv Low","RTSI (IRTS)_history.csv Volume"
"301",2010-03-25,1515.04,1513.67,1519.81,1504.6,
"302",2010-03-26,1519.87,1515.22,1527.22,1507.36,
"303",2010-03-29,1551.57,1522.48,1552.38,1514.6,
"304",2010-03-30,1562.29,1551.7,1570.26,1551.51,
"305",2010-03-31,1572.48,1562.09,1584.72,1556.02,
"306",2010-04-01,1608.39,1572.48,1611.45,1569.6,
"307",2010-04-02,1614.45,1608.44,1622.35,1606.24,
"308",2010-04-05,1626.79,1614.45,1627.37,1613.02,
"309",2010-04-06,1633.32,1626.79,1642.37,1617.95,
"310",2010-04-07,1613.88,1633.32,1637.28,1611.13,
"311",2010-04-08,1600.84,1613.94,1617.97,1586.57,
"312",2010-04-09,1631.81,1600.84,1636.04,1599.63,
"313",2010-04-12,1648.43,1631.71,1658.74,1624.52,
"314",2010-04-13,1643.98,1648.43,1653.63,1636.32,
"315",2010-04-14,1673.41,1643.91,1673.59,1643.55,
"316",2010-04-15,1676.27,1673.41,1685.6,1665.18,
"317",2010-04-16,1642.57,1676.27,1677.51,1642.45,
"318",2010-04-19,1601.67,1642.82,1645.76,1580.34,
"319",2010-04-20,1619.43,1601.32,1626.45,1597.81,
"320",2010-04-21,1610.23,1619.43,1631.27,1605.77,
"321",2010-04-22,1583.54,1610.23,1619.37,1577.88,
"322",2010-04-23,1602.99,1583.9,1606.16,1582.66,
"323",2010-04-26,1626.1,1604.86,1633.19,1599.93,
"324",2010-04-27,1603.59,1626.1,1626.82,1594.28,
"325",2010-04-28,1563.1,1603.39,1603.39,1555.24,
"326",2010-04-29,1588.75,1563.1,1589.37,1558.02,
"327",2010-04-30,1572.84,1587.94,1592.26,1569.07,
"328",2010-05-04,1517.83,1572.84,1581.32,1517.62,
"329",2010-05-05,1464.65,1517.82,1523.39,1464.65,
"330",2010-05-06,1450.47,1482.67,1487.44,1450.47,
"331",2010-05-07,1369.91,1450.47,1450.47,1362.47,
"332",2010-05-11,1420.54,1371.29,1430.36,1361.31,
"333",2010-05-12,1485.36,1420.37,1490.72,1412.86,
"334",2010-05-13,1476.03,1485.36,1513.68,1458.84,
"335",2010-05-14,1441.68,1475.08,1478.81,1436.06,
"336",2010-05-17,1422.72,1441.68,1445,1392.78,
"337",2010-05-18,1438.94,1422.91,1447.01,1408.66,
"338",2010-05-19,1379.88,1438.94,1441,1371.74,
"339",2010-05-20,1303.24,1379.74,1397.41,1300.91,
"340",2010-05-21,1297.91,1303.65,1326.99,1279.19,
"341",2010-05-24,1311.7,1297.91,1329.98,1293.21,
"342",2010-05-25,1226.57,1314.33,1317.4,1224.73,
"343",2010-05-26,1305.25,1227.55,1305.78,1227.4,
"344",2010-05-27,1358.6,1304.44,1362.37,1295.43,
"345",2010-05-28,1366.9,1358.6,1380.16,1352.35,
"346",2010-05-31,1384.59,1366.18,1384.59,1354.71,
"347",2010-06-01,1373.87,1384.47,1386.53,1335.34,
"348",2010-06-02,1383.87,1373.65,1387.66,1345.67,
"349",2010-06-03,1393.12,1383.63,1423.42,1383.63,
"350",2010-06-04,1360.74,1390.36,1417.4,1352.29,
"351",2010-06-07,1340.82,1359.3,1359.91,1308.75,
"352",2010-06-08,1315.61,1336.91,1359.22,1314.11,
"353",2010-06-09,1334.55,1315.61,1342.24,1315.61,
"354",2010-06-10,1358.94,1334.55,1359.12,1319.79,
"355",2010-06-11,1356.79,1358.41,1378.81,1348.53,
"356",2010-06-15,1396.57,1356.79,1396.61,1354.19,
"357",2010-06-16,1401.63,1395.94,1415.56,1389.35,
"358",2010-06-17,1400.66,1401.73,1425.81,1387.13,
"359",2010-06-18,1409.43,1400.66,1413.52,1393.06,
"360",2010-06-21,1457.95,1410.46,1458.9,1409,
"361",2010-06-22,1434.93,1457.95,1457.95,1423.53,
"362",2010-06-23,1418.42,1434.78,1436.17,1413.25,
"363",2010-06-24,1402.97,1418.42,1430.72,1400.16,
"364",2010-06-25,1387.66,1403.11,1408.54,1382.33,
"365",2010-06-28,1403.42,1386.58,1409.05,1379.02,
"366",2010-06-29,1356.05,1404.04,1407.39,1349.41,
"367",2010-06-30,1339.35,1356.4,1362.09,1333.85,
"368",2010-07-01,1288.72,1339.48,1341.02,1288.47,
"369",2010-07-02,1316.65,1288.72,1318.44,1285.48,
"370",2010-07-05,1318.01,1316.12,1324.73,1311.03,
"371",2010-07-06,1353.66,1317.67,1354.43,1316.06,
"372",2010-07-07,1352.71,1353.07,1353.46,1324.09,
"373",2010-07-08,1356.09,1352.94,1374.65,1352.03,
"374",2010-07-09,1359.45,1356.11,1370.38,1345.19,
"375",2010-07-12,1386.42,1359.4,1390.33,1355.66,
"376",2010-07-13,1409.61,1385.23,1415.62,1376.63,
"377",2010-07-14,1412.14,1409.41,1430.64,1408.41,
"378",2010-07-15,1403.33,1412.14,1433.94,1402.63,
"379",2010-07-16,1389.92,1403.33,1416.97,1386.47,
"380",2010-07-19,1394.92,1389.92,1405.85,1381.46,
"381",2010-07-20,1388.43,1395.46,1414.19,1380.57,
"382",2010-07-21,1417.49,1388.43,1422.36,1388.43,
"383",2010-07-22,1442.91,1417.05,1443.25,1403.12,
"384",2010-07-23,1449.19,1443.26,1456.52,1438.04,
"385",2010-07-26,1467.68,1449.38,1469.99,1447.67,
"386",2010-07-27,1481.32,1468.07,1492.2,1466.89,
"387",2010-07-28,1474.96,1481.57,1491.59,1468.42,
"388",2010-07-29,1503.68,1474.96,1510.37,1473.7,
"389",2010-07-30,1479.73,1503.58,1504.39,1465.95,
"390",2010-08-02,1523.16,1479.65,1525.05,1474.43,
"391",2010-08-03,1517.65,1523.16,1531.26,1510.83,
"392",2010-08-04,1523.8,1517.81,1534.7,1501.93,
"393",2010-08-05,1517.87,1523.8,1534.72,1510.43,
"394",2010-08-06,1509.85,1517.49,1528.22,1505.27,
"395",2010-08-09,1520.56,1509.69,1529.11,1504.93,
"396",2010-08-10,1492.9,1520.56,1523.6,1485.76,
"397",2010-08-11,1460.67,1492.9,1500.15,1458.19,
"398",2010-08-12,1447.68,1460.7,1466.86,1437.85,
"399",2010-08-13,1445.37,1447.75,1463.56,1439.91,
"400",2010-08-16,1445.94,1445.37,1454.63,1430.25,
"401",2010-08-17,1464.49,1445.94,1467.34,1443.8,
"402",2010-08-18,1458.36,1464.66,1469.35,1453.89,
"403",2010-08-19,1445.72,1458.36,1471.43,1445.72,
"404",2010-08-20,1425.03,1446.15,1449.47,1422.54,
"405",2010-08-23,1425.91,1424.92,1432.93,1415.37,
"406",2010-08-24,1396.86,1423.9,1425.81,1389.18,
"407",2010-08-25,1385.81,1399.16,1403.79,1380.09,
"408",2010-08-26,1409.51,1386.05,1411.17,1385.54,
"409",2010-08-27,1421.47,1409.51,1422.91,1401.34,
"410",2010-08-30,1427.11,1421.47,1435.43,1421.09,
"411",2010-08-31,1421.21,1427.11,1428.62,1401.22,
"412",2010-09-01,1449.99,1421.97,1450.87,1415.33,
"413",2010-09-02,1455.64,1449.99,1461.94,1448.23,
"414",2010-09-03,1467.62,1455.63,1475.87,1452.77,
"415",2010-09-06,1469.75,1467.19,1478.35,1464.67,
"416",2010-09-07,1453.47,1469.75,1471.11,1447.54,
"417",2010-09-08,1468.11,1453.47,1472.02,1445.36,
"418",2010-09-09,1492,1469.49,1499.11,1464.79,
"419",2010-09-10,1487.09,1492,1495.27,1482.49,
"420",2010-09-13,1503.22,1487.09,1513.48,1485.25,
"421",2010-09-14,1493.21,1503.26,1505.79,1486.62,
"422",2010-09-15,1484.5,1493.21,1498.27,1474.28,
"423",2010-09-16,1463.88,1484.5,1489.45,1463.49,
"424",2010-09-17,1464.18,1463.88,1482.51,1461.26,
"425",2010-09-20,1467.11,1464.18,1471,1458.89,
"426",2010-09-21,1478.21,1467.11,1483.86,1467.11,
"427",2010-09-22,1477.01,1478.21,1483.1,1464.65,
"428",2010-09-23,1477.13,1477.02,1485.47,1466.22,
"429",2010-09-24,1488.67,1477.13,1488.67,1468.86,
"430",2010-09-27,1487.86,1488.52,1504.22,1486.63,
"431",2010-09-28,1483.68,1487.86,1489.89,1472.03,
"432",2010-09-29,1494.93,1483.68,1500.67,1483.68,
"433",2010-09-30,1507.66,1494.77,1509.89,1491.23,
"434",2010-10-01,1531.91,1507.28,1537.32,1502.2,
"435",2010-10-04,1542.58,1532.03,1547.43,1528.13,
"436",2010-10-05,1568.86,1542.38,1568.9,1537.68,
"437",2010-10-06,1578.35,1568.86,1589.77,1567.64,
"438",2010-10-07,1584.29,1577.55,1598.33,1576.39,
"439",2010-10-08,1566.85,1584.29,1586.61,1555.46,
"440",2010-10-11,1588.29,1566.35,1588.46,1566.34,
"441",2010-10-12,1574.2,1588.28,1588.28,1560.63,
"442",2010-10-13,1588.83,1574.2,1592.1,1574.2,
"443",2010-10-14,1586.94,1588.83,1605.67,1581.62,
"444",2010-10-15,1581.9,1586.94,1592.23,1578.46,
"445",2010-10-18,1583.04,1581.9,1585.23,1564.44,
"446",2010-10-19,1570.59,1583.04,1597.25,1566.61,
"447",2010-10-20,1556.74,1570.41,1570.67,1545.14,
"448",2010-10-21,1604.86,1558.2,1605.83,1557.29,
"449",2010-10-22,1608.71,1604.84,1620.04,1592.35,
"450",2010-10-25,1620.49,1608.71,1634.66,1606.75,
"451",2010-10-26,1609.79,1620.22,1622.28,1602.54,
"452",2010-10-27,1583.17,1609.94,1613.91,1583.17,
"453",2010-10-28,1583.44,1583.17,1593.28,1581.68,
"454",2010-10-29,1587.14,1583.17,1588.32,1572.88,
"455",2010-11-01,1600.36,1586.64,1609.67,1585.07,
"456",2010-11-02,1604.14,1600.36,1608.84,1597.49,
"457",2010-11-03,1602.53,1604,1612.95,1601.68,
"458",2010-11-08,1628.42,1603.19,1640.95,1601.15,
"459",2010-11-09,1659.45,1629.14,1663.87,1626.2,
"460",2010-11-10,1637.02,1659.45,1659.72,1632.98,
"461",2010-11-11,1629.37,1637.02,1656.93,1629.37,
"462",2010-11-12,1610.97,1629.89,1634.39,1601.81,
"463",2010-11-13,1606.08,1610.14,1612.07,1598.54,
"464",2010-11-15,1609.43,1606.08,1616.1,1594.16,
"465",2010-11-16,1568.13,1609.43,1611.71,1568.04,
"466",2010-11-17,1570.66,1568.13,1571.71,1551.67,
"467",2010-11-18,1598.63,1570.44,1598.74,1562.05,
"468",2010-11-19,1600.98,1598.63,1607.9,1590.59,
"469",2010-11-22,1600.3,1600.98,1624.78,1597.25,
"470",2010-11-23,1573.46,1599.86,1601.54,1569.19,
"471",2010-11-24,1600.5,1573.03,1602.23,1566.98,
"472",2010-11-25,1618.55,1600.5,1619.05,1597.72,
"473",2010-11-26,1602.48,1618.55,1619.97,1588.15,
"474",2010-11-29,1589.31,1602.37,1617.63,1586.22,
"475",2010-11-30,1597.35,1589.31,1603.53,1583.47,
"476",2010-12-01,1633.71,1597.3,1634.13,1594.24,
"477",2010-12-02,1665.72,1633.48,1667.35,1632.74,
"478",2010-12-03,1687.36,1665.38,1692.52,1663.43,
"479",2010-12-06,1711.44,1687.36,1712.55,1681.6,
"480",2010-12-07,1721.91,1711.44,1735.86,1708.59,
"481",2010-12-08,1694.3,1721.91,1722.21,1694.3,
"482",2010-12-09,1711.56,1694.3,1716.18,1694.01,
"483",2010-12-10,1712.93,1711.27,1720.63,1703.49,
"484",2010-12-13,1735.5,1712.93,1739.76,1712.93,
"485",2010-12-14,1745.8,1735.5,1747.08,1730.73,
"486",2010-12-15,1757.71,1745.8,1769.89,1737.02,
"487",2010-12-16,1744.28,1757.71,1757.71,1742.15,
"488",2010-12-17,1743.87,1744.28,1756.8,1743.87,
"489",2010-12-20,1739.67,1743.1,1746.1,1735.6,
"490",2010-12-21,1755.79,1739.67,1756.05,1738.09,
