"","MICEX (MCX)_history.csv Date","MICEX (MCX)_history.csv Price","MICEX (MCX)_history.csv Open","MICEX (MCX)_history.csv High","MICEX (MCX)_history.csv Low","MICEX (MCX)_history.csv Volume"
"685",2011-10-05,1265.67,1268,1303.49,1247.84,
"686",2011-10-06,1318.29,1266.12,1324.43,1269.31,
"687",2011-10-07,1351.42,1318.31,1361.23,1321.87,
"688",2011-10-10,1380.86,1351.42,1381.76,1336.91,
"689",2011-10-11,1364.06,1380.84,1384.62,1347.07,
"690",2011-10-12,1396.51,1364.06,1398.19,1354.93,
"691",2011-10-13,1388.77,1396.5,1413.55,1381.03,
"692",2011-10-14,1431.92,1388.77,1434,1386.15,
"693",2011-10-17,1403.05,1431.92,1448.42,1396.5,
"694",2011-10-18,1425.24,1403.05,1426.71,1380.84,
"695",2011-10-19,1420.5,1425.3,1435.39,1403.34,
"696",2011-10-20,1418.85,1420.2,1425.74,1390.85,
"697",2011-10-21,1447.01,1418.86,1447.59,1411.55,
"698",2011-10-24,1482.81,1447.63,1483.87,1450.06,
"699",2011-10-25,1462.17,1482.81,1483.79,1446.2,
"700",2011-10-26,1499.79,1462.16,1513.64,1459.98,
"701",2011-10-27,1525.52,1499.81,1550.02,1503.12,
"702",2011-10-28,1526.57,1525.55,1552.16,1510.31,
"703",2011-10-31,1498.6,1526.22,1529.78,1491.95,
"704",2011-11-01,1456.29,1498.56,1496.16,1440.27,
"705",2011-11-02,1488.86,1456.29,1490.49,1455.9,
"706",2011-11-03,1501.18,1488.69,1511.57,1435.32,
"707",2011-11-07,1521.01,1501.2,1522.19,1486.45,
"708",2011-11-08,1520.88,1521.01,1535.88,1512.21,
"709",2011-11-09,1470.8,1520.93,1534.63,1462.36,
"710",2011-11-10,1489.58,1470.78,1499.74,1442.54,
"711",2011-11-11,1484.97,1489.59,1498.33,1464.44,
"712",2011-11-14,1484.38,1484.97,1511.21,1478.54,
"713",2011-11-15,1487.84,1484.3,1504.85,1454.11,
"714",2011-11-16,1483.24,1487.84,1500.07,1466.31,
"715",2011-11-17,1475.32,1483.24,1494.92,1447,
"716",2011-11-18,1460.56,1475.31,1475.31,1442.81,
"717",2011-11-21,1390.56,1460.54,1460.54,1389.13,
"718",2011-11-22,1401.91,1390.55,1419.99,1390.1,
"719",2011-11-23,1404.26,1401.91,1420.79,1379.5,
"720",2011-11-24,1392.75,1404.25,1417.74,1391.7,
"721",2011-11-25,1410.84,1392.65,1411.54,1363.26,
"722",2011-11-28,1466.22,1411.03,1469.36,1411.03,
"723",2011-11-29,1454.67,1466.22,1480.92,1448.86,
"724",2011-11-30,1499.62,1454.66,1502.82,1447.73,
"725",2011-12-01,1505.27,1499.62,1522.76,1498.25,
"726",2011-12-02,1505.77,1505.35,1523.86,1495.76,
"727",2011-12-05,1517.89,1505.77,1521.3,1499.36,
"728",2011-12-06,1457.9,1517.45,1517.45,1456.01,
"729",2011-12-07,1448.39,1458.09,1471.92,1437.1,
"730",2011-12-08,1456.36,1448.69,1482.34,1448.69,
"731",2011-12-09,1396.28,1456.26,1456.26,1390.74,
"732",2011-12-12,1349.96,1396.28,1427.29,1344.82,
"733",2011-12-13,1378.56,1349.96,1379.33,1323.2,
"734",2011-12-14,1372.42,1377.82,1406.97,1360.37,
"735",2011-12-15,1393.61,1371.94,1396.7,1350.88,
"736",2011-12-16,1383.42,1393.88,1408.07,1375.03,
"737",2011-12-19,1382.88,1383.42,1392.62,1358.65,
"738",2011-12-20,1409.84,1382.87,1410.22,1367.4,
"739",2011-12-21,1385.17,1409.84,1420.74,1380.97,
"740",2011-12-22,1385.66,1385.17,1393.83,1372.25,
"741",2011-12-23,1376.11,1385.68,1391.39,1373.42,
"742",2011-12-26,1390.08,1376.11,1391.96,1374.64,
"743",2011-12-27,1386.14,1390.08,1391.05,1375.96,
"744",2011-12-28,1383.09,1386.14,1391.65,1379.53,
"745",2011-12-29,1387.06,1383.09,1387.17,1360.99,
"746",2011-12-30,1402.23,1387.05,1409.58,1382.76,
"747",2012-01-03,1444.76,1402.25,1445.57,1401.21,
"748",2012-01-04,1447.59,1444.76,1453.27,1437.62,
"749",2012-01-05,1434.91,1447.59,1458.14,1432.88,
"750",2012-01-06,1440.6,1434.9,1453.92,1431.97,
"751",2012-01-09,1448.36,1440.6,1449.46,1432.02,
"752",2012-01-10,1476.88,1448.36,1478.74,1444.02,
"753",2012-01-11,1465.47,1476.86,1480.28,1458.74,
"754",2012-01-12,1464.53,1465.46,1485.15,1457.78,
"755",2012-01-13,1463.43,1464.52,1478.12,1458.74,
"756",2012-01-16,1464.42,1463.44,1467.41,1445.98,
"757",2012-01-17,1486.34,1464.7,1494.97,1464.62,
"758",2012-01-18,1493.7,1486.36,1495.25,1475.57,
"759",2012-01-19,1503.7,1493.66,1505.97,1490.36,
"760",2012-01-20,1491.15,1503.71,1506.83,1486.17,
"761",2012-01-23,1499.27,1491.05,1499.81,1477.02,
"762",2012-01-24,1488.7,1499.29,1502.16,1480.65,
"763",2012-01-25,1498.79,1498.8,1507.3,1498.8,
"764",2012-01-26,1514.72,1498.8,1519.53,1498.8,
"765",2012-01-27,1508.04,1514.72,1518.4,1503.37,
"766",2012-01-30,1496.3,1508.04,1513.94,1492.04,
"767",2012-01-31,1514.03,1496.24,1518.36,1495.8,
"768",2012-02-01,1539.36,1514.02,1540.45,1504.16,
"769",2012-02-02,1542.39,1539.36,1547.59,1532.41,
"770",2012-02-03,1564.82,1542.44,1565.51,1536.3,
"771",2012-02-06,1562.87,1564.82,1570.46,1557.85,
"772",2012-02-07,1549.49,1562.87,1571.67,1546.34,
"773",2012-02-08,1555.11,1549.47,1571.42,1548.88,
"774",2012-02-09,1541.64,1555.09,1565.9,1532.67,
"775",2012-02-10,1525.17,1541.7,1544.1,1521.83,
"776",2012-02-13,1559.21,1525.21,1560.83,1524.58,
"777",2012-02-14,1562.13,1559.21,1574.75,1553.71,
"778",2012-02-15,1579.38,1562.13,1582.72,1555.93,
"779",2012-02-16,1570.36,1579.4,1581.76,1554.42,
"780",2012-02-17,1568.54,1570.36,1585.07,1559.92,
"781",2012-02-20,1579.19,1568.54,1585.75,1567.29,
"782",2012-02-21,1558.98,1579.19,1580.35,1555.6,
"783",2012-02-22,1538.17,1558.91,1571.22,1536.05,
"784",2012-02-24,1594.55,1538.17,1595.47,1534.93,
"785",2012-02-27,1592.66,1594.5,1607.69,1585.49,
"786",2012-02-28,1574.1,1592.67,1604.23,1570.25,
"787",2012-02-29,1597.67,1574.1,1599.41,1574.1,
"788",2012-03-01,1595.78,1597.67,1602.72,1577.98,
"789",2012-03-02,1608.08,1595.78,1608.75,1587.82,
"790",2012-03-05,1625.74,1608.08,1629.52,1608.08,
"791",2012-03-06,1562.19,1625.72,1626.02,1561.32,
"792",2012-03-07,1572.83,1562.19,1574.82,1551.19,
"793",2012-03-11,1606.33,1572.74,1608.6,1569.75,
"794",2012-03-12,1604.26,1606.37,1619.2,1592.53,
"795",2012-03-13,1611.88,1604.26,1617.53,1602.21,
"796",2012-03-14,1631.15,1611.88,1634.31,1611.49,
"797",2012-03-15,1626.63,1631.15,1639.62,1618.37,
"798",2012-03-16,1618.99,1626.63,1629.01,1608.74,
"799",2012-03-19,1586.41,1618.99,1626.81,1579.17,
"800",2012-03-20,1558.65,1586.41,1594.07,1556.28,
"801",2012-03-21,1551.78,1558.65,1572.23,1542.13,
"802",2012-03-22,1529.51,1551.76,1561.11,1525.67,
"803",2012-03-23,1540.97,1529.51,1541.68,1518.24,
