"","Shanghai Composite (SSEC)_history.csv Date","Shanghai Composite (SSEC)_history.csv Price","Shanghai Composite (SSEC)_history.csv Open","Shanghai Composite (SSEC)_history.csv High","Shanghai Composite (SSEC)_history.csv Low","Shanghai Composite (SSEC)_history.csv Volume"
"1349",2014-07-24,2105.06,2079.63,2107.95,2079.63,"165680"
"1350",2014-07-25,2126.61,2108.71,2127.22,2106.71,"142500"
"1351",2014-07-28,2177.95,2135.25,2181.5,2135.25,"236190"
"1352",2014-07-29,2183.19,2179.83,2193.52,2172.1,"200260"
"1353",2014-07-30,2181.24,2178.18,2194.57,2177.24,"184920"
"1354",2014-07-31,2201.56,2179.54,2202.13,2173.9,"164690"
"1355",2014-08-01,2185.3,2194.17,2218.79,2184.64,"191480"
"1356",2014-08-04,2223.33,2190.04,2224.07,2186.92,"174100"
"1357",2014-08-05,2219.95,2224.63,2226.84,2206.85,"175390"
"1358",2014-08-06,2217.46,2212,2223.89,2192.99,"177710"
"1359",2014-08-07,2187.67,2216.66,2220.57,2185.76,"175230"
"1360",2014-08-08,2194.42,2188.71,2199.58,2180.6,"135180"
"1361",2014-08-11,2224.65,2199.43,2225.96,2198.31,"150580"
"1362",2014-08-12,2221.59,2222.7,2222.98,2210,"154800"
"1363",2014-08-13,2222.88,2223.05,2230.99,2202.44,"178060"
"1364",2014-08-14,2206.47,2221.54,2230.89,2204.38,"170150"
"1365",2014-08-15,2226.73,2207.23,2230.87,2203.24,"149980"
"1366",2014-08-18,2239.47,2229.8,2242.04,2228.13,"163930"
"1367",2014-08-19,2245.33,2242.34,2246.02,2227.92,"177750"
"1368",2014-08-20,2240.21,2241.66,2248.94,2233.89,"167660"
"1369",2014-08-21,2230.46,2239.57,2240.08,2211.63,"165730"
"1370",2014-08-22,2240.81,2228.97,2243.3,2225.27,"160110"
"1371",2014-08-25,2229.27,2241.1,2241.55,2222.01,"162120"
"1372",2014-08-26,2207.11,2225.29,2232.78,2200.62,"163510"
"1373",2014-08-27,2209.47,2207.03,2216.67,2204.05,"120890"
"1374",2014-08-28,2195.82,2210.48,2219.47,2194.86,"124230"
"1375",2014-08-29,2217.2,2198.95,2218.7,2193.26,"105200"
"1376",2014-09-01,2235.51,2220.13,2236.29,2217.68,"129170"
"1377",2014-09-02,2266.05,2239.68,2267.51,2234.38,"192130"
"1378",2014-09-03,2288.63,2268.39,2290.55,2268.1,"212480"
"1379",2014-09-04,2306.86,2290.03,2307.7,2283.28,"199490"
"1380",2014-09-05,2326.43,2311.3,2327.56,2307.45,"213180"
