"","FTSE MIB (FTMIB)_history.csv Date","FTSE MIB (FTMIB)_history.csv Price","FTSE MIB (FTMIB)_history.csv Open","FTSE MIB (FTMIB)_history.csv High","FTSE MIB (FTMIB)_history.csv Low","FTSE MIB (FTMIB)_history.csv Volume"
"1703",2015-08-25,21649.69,20864.96,21664.32,20632.97,"1.02e+09"
"1704",2015-08-26,21473.81,21323.81,21801.61,21151.43,"646690000"
"1705",2015-08-27,22201.24,21943.04,22263.44,21768.24,"680210000"
"1706",2015-08-28,21993.74,22248.57,22276.16,21846.12,"457900000"
"1707",2015-08-31,21941.92,22003.46,22112.24,21775.98,"435510000"
"1708",2015-09-01,21451.37,21734.67,21854.59,21343.88,"614630000"
"1709",2015-09-02,21612,21566.39,21827.59,21429.98,"541770000"
"1710",2015-09-03,22177.37,21743.95,22291.71,21690.2,"658230000"
"1711",2015-09-04,21472.68,21920.62,21955.09,21424.04,"723780000"
"1712",2015-09-07,21622.34,21680.44,21754.59,21501.54,"321240000"
"1713",2015-09-08,21941.31,21718.97,22124.99,21710.72,"513760000"
"1714",2015-09-09,22126.57,22397.93,22448.77,22126.57,"637020000"
"1715",2015-09-10,21901.45,21944.66,22121.02,21806.95,"582530000"
"1716",2015-09-11,21762.63,22049.88,22063.76,21706.73,"574350000"
"1717",2015-09-14,21553.8,21815.55,21860.37,21497.11,"554780000"
"1718",2015-09-15,21903.63,21584.05,21992.67,21434.66,"556710000"
"1719",2015-09-16,22059.21,22085.15,22180.98,21907.83,"530780000"
"1720",2015-09-17,22099.53,22110.78,22129.89,21974.52,"473020000"
"1721",2015-09-18,21514.9,22004.13,22004.13,21504.45,"918950000"
"1722",2015-09-21,21755.42,21473.98,21803.13,21460.65,"509770000"
"1723",2015-09-22,21031.8,21705.85,21705.85,21017.08,"734830000"
"1724",2015-09-23,21068.88,21124.08,21408.6,20947.14,"608150000"
"1725",2015-09-24,20581.83,21055.59,21215.58,20544.96,"824030000"
"1726",2015-09-25,21339.11,20963.21,21400.25,20914.55,"630420000"
"1727",2015-09-28,20759.49,21196.75,21300.51,20759.49,"536890000"
"1728",2015-09-29,20726.75,20514.58,20905.12,20476.48,"705560000"
"1729",2015-09-30,21294.98,21039.6,21320.6,20971.28,"713130000"
"1730",2015-10-01,21142.86,21502.67,21551.3,21101.46,"643960000"
"1731",2015-10-02,21395.29,21368.53,21547.94,21052.48,"733070000"
"1732",2015-10-05,21980.08,21736.12,22026.56,21623.22,"628040000"
"1733",2015-10-06,22182.65,21945.48,22182.65,21802.13,"568990000"
"1734",2015-10-07,22007.34,22218.34,22343.41,22007.34,"665350000"
"1735",2015-10-08,22156.74,22045.42,22195.14,21984.89,"535540000"
"1736",2015-10-09,22257.89,22372.21,22423.55,22204.71,"511460000"
"1737",2015-10-12,22091.27,22263.56,22346.13,22002.98,"414900000"
"1738",2015-10-13,22048.49,22011.69,22179.72,21747.19,"538030000"
"1739",2015-10-14,21838.2,21912.69,22035.18,21797.6,"495310000"
"1740",2015-10-15,22217.69,22022.14,22233.92,21967.73,"483970000"
"1741",2015-10-16,22337.66,22358.64,22416.35,22225.73,"501550000"
"1742",2015-10-19,22419.68,22344.5,22532.75,22299.23,"431420000"
"1743",2015-10-20,22270.11,22466.4,22536.84,22119.76,"524980000"
"1744",2015-10-21,22172.64,22343.68,22388.15,22097.39,"442890000"
"1745",2015-10-22,22616.9,22124.06,22616.9,22103.13,"826230000"
"1746",2015-10-23,22736.86,22717.17,22874.96,22637.87,"751830000"
"1747",2015-10-26,22629.64,22713.99,22740.84,22548.68,"464210000"
"1748",2015-10-27,22369.92,22572.8,22731.2,22369.92,"516370000"
"1749",2015-10-28,22686.24,22489.23,22697.27,22456.18,"528910000"
"1750",2015-10-29,22442.69,22702.16,22712.6,22209.45,"813940000"
"1751",2015-10-30,22442.51,22539.67,22584.25,22336.98,"699450000"
"1752",2015-11-02,22482.39,22341.59,22622.53,22263.5,"521210000"
"1753",2015-11-03,22459.45,22517.39,22636.24,22165.92,"616100000"
"1754",2015-11-04,22312.63,22557.93,22660.64,22303.07,"582310000"
"1755",2015-11-05,22223.7,22320.41,22442.87,22132.7,"517520000"
"1756",2015-11-06,22529.94,22220.34,22529.94,22166.83,"946620000"
"1757",2015-11-09,22107.3,22509.21,22570.52,22107.3,"491650000"
"1758",2015-11-10,22444,22254.23,22444,22125.52,"575880000"
"1759",2015-11-11,22385.11,22463.41,22658.94,22316.83,"620360000"
"1760",2015-11-12,21859.29,22345.46,22367.15,21810.67,"683610000"
"1761",2015-11-13,21842.56,21819.12,21986.75,21655.21,"530970000"
"1762",2015-11-16,21811.36,21606.99,21924.72,21572.63,"417760000"
"1763",2015-11-17,22309.39,22015.87,22309.39,21974.44,"548750000"
"1764",2015-11-18,22091.56,22197.26,22205,22054.51,"532930000"
"1765",2015-11-19,22191.99,22249.49,22321.42,22095.52,"532440000"
"1766",2015-11-20,22140.14,22222.2,22246.61,21946.45,"581640000"
"1767",2015-11-23,22294.69,22078.1,22390.39,21995.27,"463190000"
"1768",2015-11-24,21948.14,22194.41,22229.12,21840.84,"489080000"
"1769",2015-11-25,22359.23,22025.79,22400.4,21944.09,"522730000"
"1770",2015-11-26,22591.53,22354.48,22597.95,22339.31,"414820000"
"1771",2015-11-27,22575.18,22482.88,22707.68,22432.56,"501390000"
"1772",2015-11-30,22717.98,22525.64,22773.09,22505.79,"541520000"
"1773",2015-12-01,22581.33,22795.45,22844.38,22581.33,"433670000"
"1774",2015-12-02,22551.91,22676.41,22730.25,22515.11,"464380000"
"1775",2015-12-03,21995.71,22553.23,22843.81,21995.71,"858880000"
"1776",2015-12-04,22021.36,21918.49,22111.24,21832.26,"570910000"
"1777",2015-12-07,22037.17,22108.93,22218.82,21954.49,"409670000"
"1778",2015-12-08,21538.04,21991.7,21998.36,21443.61,"522010000"
"1779",2015-12-09,21500.88,21625.47,21701.02,21355.14,"574070000"
"1780",2015-12-10,21409.63,21402.77,21616.69,21325,"486800000"
"1781",2015-12-11,21015.29,21351.26,21386.23,20924.07,"584310000"
"1782",2015-12-14,20506.56,21062.45,21186.99,20506.56,"810760000"
"1783",2015-12-15,21272.68,20670.49,21272.68,20659.46,"6.33e+08"
"1784",2015-12-16,21210.23,21267.2,21373.88,21095.44,"557050000"
"1785",2015-12-17,21523.1,21557.11,21730.23,21480.07,"622300000"
"1786",2015-12-18,21241.93,21309.84,21479.13,21208.81,"714080000"
"1787",2015-12-21,21099.32,21263.71,21431.69,21099.32,"389550000"
"1788",2015-12-22,21060.13,21202.8,21282.69,20968.12,"343790000"
"1789",2015-12-23,21456.36,21230.04,21462.87,21185.36,"395400000"
"1790",2015-12-28,21369.15,21454.82,21505.36,21326.28,"240150000"
"1791",2015-12-29,21661.33,21485.08,21705.71,21481.2,"271470000"
"1792",2015-12-30,21418.37,21595.33,21659.49,21418.37,"262990000"
"1793",2016-01-04,20733.81,21186.13,21194.17,20701.57,"562350000"
"1794",2016-01-05,20983.24,20938.1,20983.24,20722.19,"435630000"
"1795",2016-01-06,20422.39,20922.29,20930.61,20373.19,"524270000"
"1796",2016-01-07,20189.48,19781.23,20288.68,19631.81,"772730000"
"1797",2016-01-08,19869.49,20189.16,20350.12,19869.49,"567020000"
"1798",2016-01-11,19756.14,19812.8,20110.26,19756.14,"560850000"
"1799",2016-01-12,19970.1,19787.37,20143.69,19713.25,"599210000"
"1800",2016-01-13,20139.87,20111.4,20383.42,20033.66,"666290000"
"1801",2016-01-14,19803.41,19879.17,19995.29,19576.09,"793080000"
"1802",2016-01-15,19195.94,19694.71,19770.54,19117.56,"838490000"
"1803",2016-01-18,18686.86,19198.08,19360.6,18637.6,"735820000"
"1804",2016-01-19,18880.52,19059.28,19168.01,18547.46,"858090000"
"1805",2016-01-20,17967.91,18396.19,18475.84,17868.57,"916490000"
"1806",2016-01-21,18723.22,18052.47,18750.18,17836.03,"1.25e+09"
"1807",2016-01-22,19028.42,19074.14,19305.32,18890.89,"1.01e+09"
"1808",2016-01-25,18641.47,19148.56,19150.02,18597.68,"796060000"
"1809",2016-01-26,18923.83,18360.97,18960.86,18256.41,"862400000"
"1810",2016-01-27,18848.03,18983.73,19008.76,18570.65,"755790000"
"1811",2016-01-28,18189.95,18758.24,18942.96,18055.43,"1.06e+09"
"1812",2016-01-29,18657.29,18496.82,18657.29,18325.21,"870270000"
"1813",2016-02-01,18485.95,18689.45,18792.14,18285.83,"640800000"
"1814",2016-02-02,17922.45,18484.83,18495.74,17866.96,"737950000"
"1815",2016-02-03,17412.04,17944.26,17998.05,17141.42,"980110000"
"1816",2016-02-04,17626.04,17705.71,17761.48,17173.1,"951880000"
"1817",2016-02-05,17250.26,17557.31,17834.54,17231.91,"1.15e+09"
"1818",2016-02-08,16441.2,17458.2,17467.2,16387.88,"1.01e+09"
"1819",2016-02-09,15913.12,16528.82,16604.33,15848.63,"1.27e+09"
"1820",2016-02-10,16714.14,16097.93,16816.96,15918.58,"1.27e+09"
"1821",2016-02-11,15773,16477.7,16477.7,15773,"1.2e+09"
"1822",2016-02-12,16514.87,16109.56,16514.87,15840.91,"1.22e+09"
"1823",2016-02-15,17041.82,16794.91,17225.58,16777.26,"1.11e+09"
"1824",2016-02-16,16957.84,17182.16,17187.41,16713.51,"1.24e+09"
"1825",2016-02-17,17377.89,16984.78,17385.72,16933.19,"1.04e+09"
"1826",2016-02-18,17112.36,17486.5,17623.73,17068.51,"1.09e+09"
"1827",2016-02-19,16909.56,17024.76,17219.77,16703.7,"892980000"
"1828",2016-02-22,17504.58,17127.65,17504.58,17127.43,"720210000"
"1829",2016-02-23,17163.46,17340.23,17631.37,17163.46,"796240000"
"1830",2016-02-24,16719.36,17157.73,17230.71,16587.67,"841870000"
"1831",2016-02-25,17104.54,16939.52,17197.86,16877.32,"712650000"
"1832",2016-02-26,17483.76,17299.03,17549.76,17253.34,"838040000"
"1833",2016-02-29,17623.07,17341.74,17642.88,17220.78,"1.06e+09"
"1834",2016-03-01,18011.91,17557.23,18011.91,17533.75,"835360000"
"1835",2016-03-02,18206.41,18143.22,18223.46,18012.33,"969810000"
"1836",2016-03-03,18348.5,18217.98,18352.63,18129.14,"853620000"
"1837",2016-03-04,18278.98,18415.36,18449.24,18061.27,"910790000"
"1838",2016-03-07,18059.27,18195.6,18252.76,17847.14,"779390000"
"1839",2016-03-08,18017.56,17906.02,18216.75,17729.09,"1.11e+09"
"1840",2016-03-09,18208.92,17982.37,18369.22,17982.37,"878690000"
"1841",2016-03-10,18118.23,18229.24,19012.19,18113.72,"1.4e+09"
"1842",2016-03-11,18987.75,18488.82,18993.71,18470.92,"1.18e+09"
"1843",2016-03-14,18981.77,19125.11,19216.53,18846.96,"944910000"
"1844",2016-03-15,18765.37,18891.72,18960.14,18678.52,"787640000"
"1845",2016-03-16,18731.75,18820.79,18943.18,18609.66,"687890000"
"1846",2016-03-17,18608.03,18921.43,18926.79,18344.17,"1.03e+09"
"1847",2016-03-18,18611.34,18704.37,18769.7,18468.17,"1.06e+09"
"1848",2016-03-21,18696.93,18556.34,18879.95,18481.59,"717920000"
"1849",2016-03-22,18698.82,18555.03,18698.82,18286.08,"645130000"
"1850",2016-03-23,18462.88,18758.49,18828.24,18401.93,"545960000"
"1851",2016-03-24,18165.84,18399.42,18468.78,18140.18,"763890000"
"1852",2016-03-29,18171.86,18251.52,18468.02,18031.48,"679640000"
"1853",2016-03-30,18375.32,18256.53,18496.63,18256.09,"740530000"
"1854",2016-03-31,18116.88,18235.35,18300.29,17971.67,"948180000"
"1855",2016-04-01,17776.84,17854.7,18084.41,17737.84,"791130000"
"1856",2016-04-04,17639.26,17700.02,17934.1,17574.87,"747790000"
"1857",2016-04-05,17109.3,17389.94,17460.36,17104.12,"838100000"
"1858",2016-04-06,17240.91,17214.34,17391.84,17035.79,"816140000"
"1859",2016-04-07,16818.25,17273.63,17322.19,16777.87,"757290000"
"1860",2016-04-08,17504.62,16960.89,17509.23,16956.49,"942320000"
"1861",2016-04-11,17722.66,17452.91,17855.76,17323.54,"863900000"
"1862",2016-04-12,17444.8,17741.86,17860.93,17231.73,"1.08e+09"
"1863",2016-04-13,18165.59,17713.81,18165.59,17696.18,"1.03e+09"
"1864",2016-04-14,18329.09,18206.45,18329.09,17985.38,"867420000"
"1865",2016-04-15,18257.35,18282.37,18322.12,18161.17,"683470000"
"1866",2016-04-18,18358.25,17939.06,18411.68,17903.64,"809180000"
"1867",2016-04-19,18447.98,18427.09,18637.33,18344.62,"906750000"
"1868",2016-04-20,18658.36,18363,18677.47,18265.95,"684250000"
"1869",2016-04-21,18732.96,18686.66,18741.72,18531.65,"858990000"
"1870",2016-04-22,18687.04,18739.47,18778.97,18559.57,"606730000"
"1871",2016-04-25,18403.23,18680.87,18744.15,18332.6,"574530000"
"1872",2016-04-26,18670.41,18519.77,18763.62,18481.57,"745810000"
"1873",2016-04-27,18750.62,18708.2,18779.56,18595.05,"668400000"
"1874",2016-04-28,18976.71,18649.65,19023.48,18540.11,"1.02e+09"
"1875",2016-04-29,18600.56,18800.83,19062.81,18600.56,"829940000"
"1876",2016-05-02,18420.22,18689.47,18689.47,18271.38,"719440000"
"1877",2016-05-03,17966.81,18401.32,18412.05,17889.22,"805810000"
"1878",2016-05-04,17935.67,17985.51,18130.68,17909.62,"696430000"
"1879",2016-05-05,17923.9,18022.13,18215.25,17846.36,"655250000"
"1880",2016-05-06,17842.8,17895.28,17989.76,17592.13,"707850000"
"1881",2016-05-09,17685.8,17968.32,17973.2,17652.72,"618770000"
"1882",2016-05-10,17934.72,17818.51,18067.84,17742.1,"724330000"
"1883",2016-05-11,17698.08,17914.73,17946.39,17509.6,"867410000"
"1884",2016-05-12,17651.36,17627.21,17912.62,17555.54,"728800000"
"1885",2016-05-13,17729.45,17562.64,17856.96,17434.14,"711220000"
"1886",2016-05-16,17737.02,17652.6,17778.81,17534.75,"597700000"
"1887",2016-05-17,17498.88,17816.41,18014.22,17373.08,"897660000"
"1888",2016-05-18,17713.62,17417.28,17725.03,17370.49,"621140000"
"1889",2016-05-19,17545.56,17611.25,17810.33,17498.18,"767930000"
"1890",2016-05-20,17812.35,17674.44,17878.19,17668.13,"760710000"
"1891",2016-05-23,17325.08,17521.97,17624.77,17272.18,"665530000"
"1892",2016-05-24,17903.97,17273.81,17927.66,17247.62,"850530000"
"1893",2016-05-25,18201.39,18008.97,18216.83,17975.54,"929290000"
"1894",2016-05-26,18216.92,18118.17,18242.97,18071.81,"693040000"
"1895",2016-05-27,18186.14,18152.97,18216.12,18088.07,"475430000"
"1896",2016-05-30,18291.38,18220.49,18321.4,18197.66,"360220000"
"1897",2016-05-31,18025.25,18281.66,18326.52,18002.54,"866820000"
"1898",2016-06-01,17810.85,18050.36,18055.64,17745.61,"655810000"
"1899",2016-06-02,17767.3,17836.18,18009.52,17740.88,"606480000"
"1900",2016-06-03,17495.09,17863.98,17867.08,17431.37,"639130000"
"1901",2016-06-06,17625,17450.89,17636.65,17400.4,"518200000"
"1902",2016-06-07,17975.49,17689.66,17991.02,17688.58,"726480000"
"1903",2016-06-08,17909.7,17912.53,18000.5,17799.45,"634360000"
"1904",2016-06-09,17763.88,17890.09,17892.93,17653.52,"557230000"
"1905",2016-06-10,17120.16,17693.81,17705.68,17106.25,"879350000"
"1906",2016-06-13,16621.87,16848.69,16933.26,16593.08,"947050000"
"1907",2016-06-14,16271.35,16460.92,16673.64,16231.46,"1.05e+09"
"1908",2016-06-15,16513.97,16461.11,16615.69,16414.11,"930660000"
"1909",2016-06-16,16351.9,16262.33,16383.41,16088.15,"1.02e+09"
"1910",2016-06-17,16923.29,16471.47,16963.45,16471.47,"1.21e+09"
"1911",2016-06-20,17353.45,17197.68,17423.43,17196.97,"974520000"
"1912",2016-06-21,17431.17,17320.75,17544.47,17252.37,"778020000"
"1913",2016-06-22,17323.27,17487.91,17515.07,17267.42,"663620000"
"1914",2016-06-23,17966.17,17404.31,17966.17,17293.92,"1.01e+09"
"1915",2016-06-24,15723.81,17946.23,17946.23,15723.81,"2.64e+09"
"1916",2016-06-27,15103.58,15743.11,15907.54,15017.42,"1.93e+09"
"1917",2016-06-28,15601.62,15288.39,15799.21,15286.86,"1.5e+09"
"1918",2016-06-29,15946.93,15854.72,16019.31,15754.04,"1.2e+09"
"1919",2016-06-30,16197.78,15894.78,16250.33,15629.01,"1.33e+09"
"1920",2016-07-01,16295.78,16384.72,16446.17,16013.33,"968950000"
"1921",2016-07-04,16012.31,16352.27,16352.29,15995.1,"848270000"
"1922",2016-07-05,15780.16,15915.81,16065.53,15751.29,"1.08e+09"
"1923",2016-07-06,15423.79,15667.42,15776.76,15293.1,"1.4e+09"
"1924",2016-07-07,15436.16,15565.56,15710.05,15391.02,"907910000"
"1925",2016-07-08,16066.38,15370.09,16087.67,15356.04,"1.15e+09"
"1926",2016-07-11,16260.64,16177.2,16263.74,15906.76,"905190000"
"1927",2016-07-12,16721,16277.59,16767.83,16262.84,"1.3e+09"
"1928",2016-07-13,16527.89,16699.99,16820.41,16508.05,"1.1e+09"
"1929",2016-07-14,16797.52,16695,16857.59,16595.05,"971070000"
"1930",2016-07-15,16748.59,16684.2,16871.96,16600.65,"7.84e+08"
"1931",2016-07-18,16762.73,16763.61,16964.18,16602.02,"747740000"
"1932",2016-07-19,16673.77,16723,16843.21,16444.82,"908500000"
"1933",2016-07-20,16763.82,16761.49,16826.99,16626.9,"801560000"
"1934",2016-07-21,16805.4,16796.13,16884.52,16651.64,"881150000"
"1935",2016-07-22,16778.67,16716.59,16885.7,16689.79,"630210000"
"1936",2016-07-25,16692.17,16774.37,16882.24,16645.31,"677620000"
"1937",2016-07-26,16697.01,16673.14,16753.54,16383.19,"752670000"
"1938",2016-07-27,16863.01,16735.75,16996.21,16722.77,"1.09e+09"
"1939",2016-07-28,16522.64,16871.88,16871.88,16522.64,"966320000"
"1940",2016-07-29,16846.86,16595.02,16916.54,16555.45,"999880000"
"1941",2016-08-01,16554.83,16971.27,17122.82,16554.83,"1.01e+09"
"1942",2016-08-02,16098.37,16530.12,16553.32,16052.69,"1.06e+09"
"1943",2016-08-03,16129.84,16136.59,16242.12,15978.08,"935690000"
"1944",2016-08-04,16236.41,16214.32,16327.64,16145.67,"667850000"
"1945",2016-08-05,16626.28,16282.37,16626.28,16272.31,"750070000"
"1946",2016-08-08,16743.82,16701.9,16806.76,16667.21,"559120000"
"1947",2016-08-09,16796.14,16741.47,16850.13,16701.05,"517120000"
"1948",2016-08-10,16791.55,16689.33,16885.91,16675.75,"494830000"
"1949",2016-08-11,16969.69,16850.81,16969.69,16706.58,"549340000"
"1950",2016-08-12,16997.83,16967.75,17047.74,16945.66,"466900000"
"1951",2016-08-16,16792.96,16926.45,17053.42,16782.74,"540650000"
"1952",2016-08-17,16528.36,16845.74,16850.13,16528.36,"546430000"
"1953",2016-08-18,16673.58,16646.78,16698.13,16517.36,"520610000"
"1954",2016-08-19,16310.06,16621.82,16646.92,16215.38,"700910000"
"1955",2016-08-22,16369.14,16296.85,16530.98,16257,"514990000"
"1956",2016-08-23,16778.05,16434.01,16789.02,16434.01,"598140000"
"1957",2016-08-24,16891.63,16685.51,16949.24,16628.56,"726160000"
"1958",2016-08-25,16710.78,16824.51,16879.75,16681.99,"522790000"
"1959",2016-08-26,16843.99,16745.5,16864.64,16574.38,"444200000"
"1960",2016-08-29,16655.22,16775.11,16856.11,16540.79,"327580000"
"1961",2016-08-30,16891.42,16722.48,16940.8,16718.8,"458790000"
"1962",2016-08-31,16943.38,16877.34,17039.39,16837.59,"735890000"
"1963",2016-09-01,16923.28,16989.99,17253.2,16852.84,"869400000"
"1964",2016-09-02,17183.9,17007.44,17186.83,16882.82,"653760000"
"1965",2016-09-05,17190.44,17232.42,17333.79,17157.49,"529290000"
"1966",2016-09-06,17052.57,17250.85,17261.63,17051.48,"579820000"
"1967",2016-09-07,17292.84,17148.35,17323.85,16991.68,"734820000"
"1968",2016-09-08,17375.73,17297.09,17397.53,17118.82,"722190000"
"1969",2016-09-09,17156.48,17337.38,17391.85,17122.44,"623420000"
"1970",2016-09-12,16840.28,16875.93,16903.24,16667.2,"723530000"
"1971",2016-09-13,16547.75,16935.98,16965.18,16547.75,"780020000"
"1972",2016-09-14,16539.9,16637.79,16690.44,16476.96,"709630000"
"1973",2016-09-15,16595.43,16509.43,16617.71,16384.93,"706420000"
"1974",2016-09-16,16192.16,16515.5,16547.76,16180.7,"1.46e+09"
"1975",2016-09-19,16399.26,16261.4,16489.77,16259.91,"598720000"
"1976",2016-09-20,16207.1,16401.01,16430.14,16207.1,"692110000"
"1977",2016-09-21,16349.82,16391.68,16503.8,16332.6,"573100000"
"1978",2016-09-22,16637.69,16494.66,16730.84,16492.46,"622730000"
"1979",2016-09-23,16452.84,16617.47,16625.12,16409.77,"513900000"
"1980",2016-09-26,16192.48,16329.24,16330.18,16091.54,"641610000"
"1981",2016-09-27,16134.71,16326.08,16332.27,15995.01,"625390000"
