"","BIST 100 (XU100)_history.csv Date","BIST 100 (XU100)_history.csv Price","BIST 100 (XU100)_history.csv Open","BIST 100 (XU100)_history.csv High","BIST 100 (XU100)_history.csv Low","BIST 100 (XU100)_history.csv Volume"
"1375",2014-06-17,78015.74,78059.69,78951.15,77898.82,"637340"
"1376",2014-06-18,78092.89,78207.01,78555.83,77763.17,"497090"
"1377",2014-06-19,79057.25,79197.4,79431.24,79020.72,"550440"
"1378",2014-06-20,78400.69,78693.29,78927.19,78371.75,"339530"
"1379",2014-06-23,79326.52,78752.44,79423.17,78507.54,"481830"
"1380",2014-06-24,78986.12,79724.92,80057.47,78986.12,"516310"
"1381",2014-06-25,78997.88,78287.09,79150.38,78032.25,"445790"
"1382",2014-06-26,78104.14,79262.85,79350.98,77756.66,"399210"
"1383",2014-06-27,78472.38,78428.78,78893.42,78139.06,"248730"
"1384",2014-06-30,78489.01,78764.32,79263.79,78363.02,"366620"
"1385",2014-07-01,77107.01,78535.71,78815.69,76956.2,"503120"
"1386",2014-07-02,76831.82,77305.74,77412.27,76056.23,"547890"
"1387",2014-07-03,77528.54,76880.88,77568.53,76469.86,"556480"
"1388",2014-07-04,77534.77,77606.78,77780.68,77373.97,"411550"
"1389",2014-07-07,78951.06,77381.03,78995.58,77255.09,"584550"
"1390",2014-07-08,79290.79,79156.31,79729.67,79081.17,"493710"
"1391",2014-07-09,79458.79,79398.77,79777.93,79087.7,"483760"
"1392",2014-07-10,78551.58,79586.55,79837.02,78487.13,"550700"
"1393",2014-07-11,79364.43,78788.81,79524.45,78748.14,"407590"
"1394",2014-07-14,80621.55,79809.04,80695.38,79669.84,"488480"
"1395",2014-07-15,81245.09,80774.57,81472.16,80646.47,"545820"
"1396",2014-07-16,82270.52,81340.64,82290.65,81148.83,"538750"
"1397",2014-07-17,81783.21,82405.17,82492.19,81284.68,"620660"
"1398",2014-07-18,82314.53,80940.52,82314.53,80933.82,"469690"
"1399",2014-07-21,82270.34,82692.66,82942.87,82164.72,"440210"
"1400",2014-07-22,82530.53,82608.05,82879.68,82211.78,"507060"
"1401",2014-07-23,82854.62,82702.53,83168.96,82490.04,"521430"
"1402",2014-07-24,83824.65,83061.71,83920.48,83061.71,"746600"
"1403",2014-07-25,84218.02,84021,84289.65,83426.34,"523530"
"1404",2014-07-31,82156.87,83918.79,84356.42,82156.87,"610550"
"1405",2014-08-01,82093.94,82371.24,82553.16,80915.18,"565690"
"1406",2014-08-04,81893.27,82416.86,82988.29,81893.27,"448480"
