"","Karachi 100 (KSE)_history.csv Date","Karachi 100 (KSE)_history.csv Price","Karachi 100 (KSE)_history.csv Open","Karachi 100 (KSE)_history.csv High","Karachi 100 (KSE)_history.csv Low","Karachi 100 (KSE)_history.csv Volume"
"997",2013-01-04,16648.84,16588.27,16701.36,16588.27,"-"
"998",2013-01-07,16502.65,16648.2,16648.2,16424.9,"-"
"999",2013-01-08,16645.76,16518.17,16655.13,16518.17,"-"
"1000",2013-01-09,16742.22,16657.09,16745.54,16649.14,"-"
"1001",2013-01-10,16529.92,16738.88,16741.34,16516.82,"-"
"1002",2013-01-11,16634.71,16529.37,16684.39,16518.03,"-"
"1003",2013-01-14,16633.18,16624.46,16645.87,16514.35,"-"
"1004",2013-01-15,16107.89,16623.26,16623.26,16047.96,"-"
"1005",2013-01-16,16181.47,16106.6,16225,16036.31,"-"
"1006",2013-01-17,16291.09,16243.93,16435.39,16243.93,"-"
"1007",2013-01-18,16601.77,16497.65,16617.81,16497.65,"-"
"1008",2013-01-21,16640.81,16636.04,16682.33,16593.5,"-"
"1009",2013-01-22,16894.09,16643.43,16907.53,16643.43,"-"
"1010",2013-01-23,16908.67,16894.99,16949.32,16869.43,"-"
"1011",2013-01-24,17056.36,16920.84,17067.58,16920.84,"-"
"1012",2013-01-28,17004.99,17073.48,17124.33,16985.25,"-"
"1013",2013-01-29,17172.04,17010.43,17180.04,16990.06,"-"
"1014",2013-01-30,17205.27,17181.33,17253,17167,"-"
"1015",2013-01-31,17242.74,17216.54,17274.93,17207,"-"
"1016",2013-02-01,17266.23,17245.68,17280.89,17216.3,"-"
"1017",2013-02-04,17288.07,17280.17,17312.15,17269.01,"-"
"1018",2013-02-06,17408.52,17319.26,17439.11,17319.26,"-"
"1019",2013-02-07,17383.32,17408.52,17486.36,17371.01,"-"
"1020",2013-02-08,17477.94,17384.55,17499.59,17384.55,"-"
"1021",2013-02-11,17548.54,17498.17,17591.64,17494.77,"-"
"1022",2013-02-12,17611.4,17550.2,17658.21,17543.15,"-"
"1023",2013-02-13,17696.45,17638.28,17737.68,17635.19,"-"
"1024",2013-02-14,17765.82,17701.79,17777.68,17701.79,"-"
"1025",2013-02-15,17797.22,17793.55,17854.06,17729.22,"-"
"1026",2013-02-18,17865.61,17796.95,17914.43,17750.26,"-"
"1027",2013-02-19,17817.71,17867.05,17941.73,17786.83,"-"
"1028",2013-02-20,17947.07,17835.07,17989.93,17835.07,"-"
"1029",2013-02-21,17921.02,17976.43,17993.05,17892.79,"-"
"1030",2013-02-22,18074.27,17930.67,18085.53,17896.66,"-"
"1031",2013-02-25,18020.5,18112.37,18175.65,17972.58,"-"
"1032",2013-02-26,17894.89,18038.24,18041.15,17819.48,"-"
"1033",2013-02-27,18080.9,17908.47,18087.87,17876.56,"-"
"1034",2013-02-28,18173.67,18089.42,18217.83,18089.42,"-"
"1035",2013-03-01,18185.19,18199.35,18312.65,18160.16,"-"
"1036",2013-03-04,18133.13,18192.37,18209.86,18097.03,"-"
"1037",2013-03-05,18035.97,18124.47,18199.99,17994.6,"-"
"1038",2013-03-06,18000.45,18076.16,18171.4,17953.08,"-"
"1039",2013-03-07,17992.91,18020.42,18120.85,17957.54,"-"
"1040",2013-03-08,17964.18,17995.73,18041.74,17894.39,"-"
"1041",2013-03-11,17522.56,17983.89,18059.09,17491.63,"-"
"1042",2013-03-12,17872.85,17579.45,17886.29,17543.07,"-"
"1043",2013-03-13,17760.44,17901.15,17912.89,17716.38,"-"
"1044",2013-03-14,17740.69,17777.55,17831.53,17725.23,"-"
"1045",2013-03-15,17664.83,17731.09,17755.56,17628.39,"-"
"1046",2013-03-18,17492,17634.48,17640.97,17388.51,"-"
"1047",2013-03-19,17693.37,17493.88,17703.16,17493.88,"-"
"1048",2013-03-20,17753.97,17708.04,17771.63,17671.64,"-"
"1049",2013-03-21,17913.62,17778.96,17957.09,17775.67,"-"
"1050",2013-03-22,17963.11,17907.77,17975.84,17893.24,"-"
"1051",2013-03-25,17961.91,18001.29,18071.3,17917.62,"-"
"1052",2013-03-26,17872.15,17971.47,17981.5,17846.52,"-"
"1053",2013-03-27,17897.9,17918.83,18003.43,17892.54,"-"
"1054",2013-03-28,17947.76,17934.14,17978.5,17920.25,"-"
"1055",2013-03-29,18043.31,17959.44,18056.6,17959.44,"-"
"1056",2013-04-01,18272.11,18061.75,18327.11,18060.04,"-"
"1057",2013-04-02,18345.74,18332.59,18434.04,18321.28,"-"
"1058",2013-04-03,18575.88,18381.62,18590.25,18378.32,"-"
"1059",2013-04-04,18613.44,18592.83,18652.13,18545.89,"-"
"1060",2013-04-05,18636.03,18644.93,18717.67,18589.07,"-"
"1061",2013-04-08,18653.06,18644.09,18731.68,18638.8,"-"
"1062",2013-04-09,18713.61,18683.77,18732.94,18664.96,"-"
"1063",2013-04-10,18723.35,18737.57,18791.22,18710.91,"-"
"1064",2013-04-11,18764.55,18752.67,18789.68,18696.2,"-"
"1065",2013-04-12,18714.28,18772.51,18780.25,18652.72,"-"
"1066",2013-04-15,18524.5,18727.92,18750.25,18500.72,"-"
"1067",2013-04-16,18361.87,18487.46,18565.2,18333.27,"-"
"1068",2013-04-17,18394.12,18378.19,18464.65,18207.38,"-"
"1069",2013-04-18,18614.36,18401.73,18649.84,18382.29,"-"
"1070",2013-04-19,18631.21,18618.46,18779.74,18610.13,"-"
"1071",2013-04-22,18605.55,18631.21,18697,18526.95,"-"
"1072",2013-04-23,18647.29,18630.89,18710.55,18589.38,"-"
"1073",2013-04-24,18779.66,18671.37,18798.05,18670.56,"-"
"1074",2013-04-25,18885.6,18792.29,18928.87,18792.29,"-"
"1075",2013-04-26,18917.71,18907.53,18986.03,18889.77,"-"
"1076",2013-04-29,18822.85,18926.64,18926.64,18790.82,"-"
"1077",2013-04-30,18982.42,18824.89,19005.46,18824.89,"-"
"1078",2013-05-02,19034.53,19003.14,19102.07,18996.2,"-"
"1079",2013-05-03,19226.63,19033.78,19240.69,19026.97,"-"
"1080",2013-05-06,19256.7,19260.59,19444.52,19222.57,"-"
"1081",2013-05-07,19262.74,19272.49,19298.65,19168.88,"-"
"1082",2013-05-08,19472.55,19281.2,19515.94,19281.2,"-"
"1083",2013-05-09,19661.46,19490.37,19736.25,19490.37,"-"
"1084",2013-05-10,19916.27,19772.03,19944.83,19749.9,"-"
"1085",2013-05-13,20244.82,19931.68,20303.26,19931.68,"-"
"1086",2013-05-14,20474.62,20251.19,20504.65,20251.19,"-"
"1087",2013-05-15,20566.69,20613.17,20647.46,20347.89,"-"
"1088",2013-05-16,20416.6,20617.09,20744.53,20390.8,"-"
"1089",2013-05-17,20537.03,20417.54,20619,20417.54,"-"
"1090",2013-05-20,20814.14,20602.42,20835.29,20583.73,"-"
"1091",2013-05-21,21168,20913.55,21198.59,20913.23,"-"
"1092",2013-05-22,21458.9,21179.67,21484.06,21179.67,"-"
"1093",2013-05-23,21342.65,21514.29,21620.54,21301.81,"-"
"1094",2013-05-24,21283.77,21345.41,21421.01,21270.24,"-"
"1095",2013-05-27,20958.86,21297.64,21301.02,20917.04,"-"
"1096",2013-05-28,21501.72,20970.6,21516.14,20970.6,"-"
"1097",2013-05-29,21441.12,21505.35,21711.69,21418.28,"-"
"1098",2013-05-30,21590.66,21462.94,21682.17,21443.26,"-"
"1099",2013-05-31,21823.05,21601.8,21844.53,21601.8,"-"
"1100",2013-06-03,22080.85,21824.91,22156.49,21778.97,"-"
"1101",2013-06-04,22274.51,22084.78,22324.04,22084.78,"-"
"1102",2013-06-05,22092.42,22285.6,22422.46,22017.29,"-"
"1103",2013-06-06,22276.7,22095.66,22337.59,21981.81,"-"
"1104",2013-06-07,22358.96,22348.75,22587.53,22327.27,"-"
"1105",2013-06-10,22150.74,22362.4,22450.13,22099.96,"-"
"1106",2013-06-11,22209.07,22158.44,22297.3,22158.44,"-"
"1107",2013-06-12,22324.57,22203.55,22490.53,22203.55,"-"
"1108",2013-06-13,22757.72,22397.51,22833.2,22397.51,"-"
"1109",2013-06-14,22541.64,22798.45,22826.95,22515.39,"-"
"1110",2013-06-17,22216.46,22585.96,22606.58,22188.71,"-"
"1111",2013-06-18,21919.62,22235.18,22320.08,21846.46,"-"
"1112",2013-06-19,22135.72,22065.72,22246.94,22059.25,"-"
"1113",2013-06-20,22015.04,22139.52,22312.46,21960.98,"-"
"1114",2013-06-21,21698.35,22008.7,22008.7,21681.83,"-"
"1115",2013-06-24,21048.08,21786.75,21835.72,20999.34,"-"
"1116",2013-06-25,21110.34,20987.17,21266.01,20898.12,"-"
"1117",2013-06-26,21002.57,21122.53,21329.95,20940.22,"-"
"1118",2013-06-27,21015.34,21043.86,21211.61,20959.64,"-"
"1119",2013-06-28,21005.69,21054.06,21171.47,20854.42,"-"
"1120",2013-07-01,21363.16,21036.41,21381.62,20942.34,"-"
"1121",2013-07-02,21644.17,21400.75,21724.01,21400.75,"-"
"1122",2013-07-03,21802.86,21646.04,21828.53,21636.15,"-"
"1123",2013-07-04,21966.96,21857.59,22110.42,21853.18,"-"
"1124",2013-07-05,22178.34,22027.7,22237.44,22027.7,"-"
"1125",2013-07-08,22365.72,22235.62,22397.43,22216.44,"-"
"1126",2013-07-09,22721.22,22375.13,22757.93,22375.13,"-"
"1127",2013-07-10,22984.94,22722.89,23074.85,22648.15,"-"
"1128",2013-07-11,22747.13,23016.69,23049.65,22713.32,"-"
"1129",2013-07-12,23037.32,22749.14,23070.85,22749.14,"-"
"1130",2013-07-15,23172.35,23133.04,23388.68,23125.32,"-"
"1131",2013-07-16,23160.89,23225.09,23264,23100.45,"-"
"1132",2013-07-17,22994.72,23159.41,23320.35,22928.81,"-"
"1133",2013-07-18,23114.97,22996.04,23156.75,22899.58,"-"
"1134",2013-07-19,23428.93,23136.88,23464.11,23136.88,"-"
"1135",2013-07-22,23657.81,23545.68,23760.7,23487.48,"-"
"1136",2013-07-23,23683.27,23686.39,23717.31,23573.53,"-"
"1137",2013-07-24,23776.22,23709.8,23944.99,23707.42,"-"
"1138",2013-07-25,23573.68,23838.48,23869.67,23549.61,"-"
"1139",2013-07-26,23497.07,23607.32,23702.26,23456.74,"-"
"1140",2013-07-29,23315.15,23523.11,23577.09,23288.7,"-"
"1141",2013-07-30,23284.81,23345.18,23467.09,23129.16,"-"
"1142",2013-07-31,23312.77,23369.37,23398.39,23210.83,"-"
"1143",2013-08-01,23091.86,23335.79,23399.35,23010.59,"-"
"1144",2013-08-05,22701.3,23102.16,23123.35,22302.02,"-"
"1145",2013-08-06,22621.93,22715.83,22967.47,22547.51,"-"
"1146",2013-08-07,23237.19,22649.46,23275.55,22591.87,"-"
"1147",2013-08-12,23437.99,23242.68,23470.05,23194.96,"-"
"1148",2013-08-13,23613.2,23464.24,23658.01,23448.53,"-"
"1149",2013-08-15,23687.89,23619.17,23748.5,23492.65,"-"
"1150",2013-08-16,23673.3,23676.19,23820.22,23623.41,"-"
"1151",2013-08-19,23600.23,23687.79,23702.87,23439.81,"-"
"1152",2013-08-20,23487.23,23603.41,23808.18,23442.93,"-"
"1153",2013-08-21,23015.27,23489.38,23489.38,22977.76,"-"
"1154",2013-08-22,22714.32,23048.34,23099.67,22540.56,"-"
"1155",2013-08-23,22714.68,22722.02,22937.12,22583.26,"-"
"1156",2013-08-26,22922.24,22825.37,23134.3,22825.37,"-"
"1157",2013-08-27,22523.71,23016.81,23062.46,22478.94,"-"
"1158",2013-08-28,22236.33,22517.01,22517.01,21929.15,"-"
"1159",2013-08-29,22214.73,22258.5,22350.89,22050.76,"-"
"1160",2013-08-30,22160.85,22216.02,22346.62,21989.27,"-"
"1161",2013-09-02,21724.68,22130.87,22130.87,21679.3,"-"
"1162",2013-09-03,21808.48,21698.48,22082.81,21634.83,"-"
"1163",2013-09-04,21875.83,21856.38,21964.66,21770.33,"-"
"1164",2013-09-05,22451.46,21964.12,22503.89,21920.76,"-"
"1165",2013-09-06,22765.87,22491.18,22839.62,22491.18,"-"
"1166",2013-09-09,22838.84,22768.84,22997.94,22768.84,"-"
"1167",2013-09-10,22992.17,22901.69,23091.65,22901.69,"-"
"1168",2013-09-11,23231.68,23016.75,23261.63,22948.26,"-"
"1169",2013-09-12,23222.21,23243.68,23379.7,23167.36,"-"
"1170",2013-09-13,23168.04,23223.68,23268.04,23139.61,"-"
"1171",2013-09-16,23242.68,23175.56,23323.67,23083.24,"-"
"1172",2013-09-17,23066.5,23279.42,23380.36,23013.02,"-"
"1173",2013-09-18,22930.06,23067.05,23110.52,22818.17,"-"
"1174",2013-09-19,23456.98,22978.66,23503.24,22966.74,"-"
"1175",2013-09-20,23595.61,23471.78,23663.2,23407.99,"-"
"1176",2013-09-23,23639.97,23585.26,23680.37,23516.08,"-"
"1177",2013-09-24,23088.49,23680.39,23726.9,23027.22,"-"
"1178",2013-09-25,23060.9,23093.72,23219.35,22794.64,"-"
"1179",2013-09-26,22780.82,23106.97,23136.01,22516.64,"-"
"1180",2013-09-27,22387.31,22858.3,22929.65,22317.18,"-"
"1181",2013-09-30,21832.68,22149.16,22149.16,21669.63,"-"
"1182",2013-10-01,21980.42,21782.03,22018.76,21497.19,"-"
"1183",2013-10-02,22189.67,21985.83,22290.02,21985.83,"-"
"1184",2013-10-03,22152.35,22190.49,22294.73,22086.31,"-"
"1185",2013-10-04,22085.96,22166.85,22331.51,22064.71,"-"
"1186",2013-10-07,21864.85,22092.18,22104.37,21842.51,"-"
