"","OMX Copenhagen 20 (OMXC20)_history.csv Date","OMX Copenhagen 20 (OMXC20)_history.csv Price","OMX Copenhagen 20 (OMXC20)_history.csv Open","OMX Copenhagen 20 (OMXC20)_history.csv High","OMX Copenhagen 20 (OMXC20)_history.csv Low","OMX Copenhagen 20 (OMXC20)_history.csv Volume"
"918",2012-08-30,488.04,488.46,489.99,487.85,
"919",2012-08-31,490.16,489.48,490.16,487.2,
"920",2012-09-03,494.23,491.91,494.29,491.45,
"921",2012-09-04,489.88,494.96,495.42,489.77,
"922",2012-09-05,492.97,490.45,493.41,490.08,
"923",2012-09-06,499.82,494.42,500.14,494.03,
"924",2012-09-07,496.63,501.03,501.95,496.31,
"925",2012-09-10,494.79,495.32,497.73,492.76,
"926",2012-09-11,495.37,493.28,495.95,492.52,
"927",2012-09-12,489.7,494.82,494.82,484.68,
"928",2012-09-13,485.06,489.94,490.11,484.73,
"929",2012-09-14,488.49,491.05,491.37,484.8,
"930",2012-09-17,486.27,487.35,489.94,485.86,
"931",2012-09-18,486.82,486.03,487.86,482.76,
"932",2012-09-19,488.72,487.14,491.63,486.99,
"933",2012-09-20,494.5,489.82,495.74,488.52,
"934",2012-09-21,498.93,498.59,499.81,497.15,
"935",2012-09-24,498.97,499.41,500,496.19,
"936",2012-09-25,500.9,497.81,500.96,497.25,
"937",2012-09-26,494.04,497.7,498.41,493.36,
"938",2012-09-27,494.1,495.18,495.87,493.72,
"939",2012-09-28,493.22,496.52,497.81,492.34,
"940",2012-10-01,499.78,491.12,500.17,490.93,
"941",2012-10-02,500.44,498.44,505.64,498.36,
"942",2012-10-03,499.69,500.6,500.74,499,
"943",2012-10-04,502.39,501.1,502.77,500.52,
"944",2012-10-05,505.34,501.92,506.14,500.59,
"945",2012-10-08,504.23,503.76,505.36,501.48,
"946",2012-10-09,499.97,504.65,505.11,499.39,
"947",2012-10-10,496.1,498.64,499.23,495.19,
"948",2012-10-11,495.21,494.41,496.04,493.32,
"949",2012-10-12,491.41,494.19,494.94,490.96,
"950",2012-10-15,496.66,492.46,497.06,492.27,
"951",2012-10-16,501.82,498.14,502.88,498.14,
"952",2012-10-17,500.55,502.36,502.49,499.41,
"953",2012-10-18,501.53,500.84,501.82,498.3,
"954",2012-10-19,504.66,503.81,505.41,501.14,
"955",2012-10-22,503.28,505.07,506.51,501.76,
"956",2012-10-23,497.71,503.81,503.92,496.94,
"957",2012-10-24,496.96,498.43,499.57,495.97,
"958",2012-10-25,499.41,497.96,501.98,497.89,
"959",2012-10-26,491.78,488.17,494.6,487.67,
"960",2012-10-29,493.16,490.89,493.28,490.45,
"961",2012-10-30,488.47,491.34,491.86,488.45,
"962",2012-10-31,485.28,488.78,491.15,484.46,
"963",2012-11-01,484.83,485.78,486.88,483.55,
"964",2012-11-02,489.13,486.39,489.83,486,
"965",2012-11-05,488.36,487.91,488.87,485.57,
"966",2012-11-06,473.8,490.62,494.6,473.64,
"967",2012-11-07,476.61,473.63,483.46,472.58,
"968",2012-11-08,473.69,476.33,477.06,471.18,
"969",2012-11-09,489.75,492.88,496.58,486.26,
"970",2012-11-12,487.12,488.44,490.56,487.12,
"971",2012-11-13,485.54,486.17,486.47,484.23,
"972",2012-11-14,484.61,485.11,487.1,484.29,
"973",2012-11-15,477.23,483.25,483.25,476.14,
"974",2012-11-16,475.7,476.34,479.23,474.61,
"975",2012-11-19,478.52,477.78,479.89,477.62,
"976",2012-11-20,482.16,478.97,482.17,477.14,
"977",2012-11-21,483.11,482.29,486.06,481.61,
"978",2012-11-22,488.1,483.99,488.1,483.49,
"979",2012-11-23,490.27,487.9,490.32,486.58,
"980",2012-11-26,487.22,488.01,489.44,485.18,
"981",2012-11-27,488.88,487.62,489.93,487.58,
"982",2012-11-28,486.44,488.06,488.6,484.52,
"983",2012-11-29,490.77,487.92,492.07,487.77,
"984",2012-11-30,490.93,492.71,492.84,488.44,
"985",2012-12-03,493.98,490.22,494.87,490.21,
"986",2012-12-04,492.97,494.26,495.38,491.52,
"987",2012-12-05,494.23,494.57,496.11,492.97,
"988",2012-12-06,497.07,495.54,498.46,495.54,
"989",2012-12-07,498.57,497.8,498.88,496.32,
"990",2012-12-10,499.44,497.97,499.45,496.93,
"991",2012-12-11,502.48,499.71,502.97,499.46,
"992",2012-12-12,500.84,502.44,503.28,498.78,
"993",2012-12-13,497.77,501.12,501.68,497.77,
"994",2012-12-14,498.76,498.11,502.11,498.11,
"995",2012-12-17,493.23,498.74,499.05,493.15,
"996",2012-12-18,492.4,495.6,495.81,492.18,
"997",2012-12-19,493.74,494.05,494.16,492.68,
"998",2012-12-20,495.72,493.32,495.77,492.11,
"999",2012-12-21,496.97,494.55,497.16,493.7,
"1000",2012-12-27,497.93,498.44,499.24,497.36,
"1001",2012-12-28,496.16,496.98,498.34,495.75,
"1002",2013-01-02,506.42,500.69,506.82,500.69,
"1003",2013-01-03,508.41,506.75,508.66,505.97,
"1004",2013-01-04,513.09,509.12,513.09,508.84,
"1005",2013-01-07,513.85,513.51,515.03,512.18,
"1006",2013-01-08,517.98,513.48,518.16,513.45,
"1007",2013-01-09,521.07,518.55,521.07,516.24,
"1008",2013-01-10,522.47,521.92,523.29,520.39,
"1009",2013-01-11,523.48,523.85,524.79,521.13,
"1010",2013-01-14,522.1,524.4,524.6,522.04,
"1011",2013-01-15,526.43,520.78,526.98,520.51,
"1012",2013-01-16,529.22,526.03,529.44,523.07,
"1013",2013-01-17,531.43,529.05,531.46,527.87,
"1014",2013-01-18,530.26,532.79,534.46,530.17,
"1015",2013-01-21,534.77,531.08,535.4,530.08,
"1016",2013-01-22,535.31,535.95,538.18,533.68,
"1017",2013-01-23,537.92,534.08,539.19,533.48,
"1018",2013-01-24,536.63,537.91,537.92,534.2,
"1019",2013-01-25,541.83,537.16,542.27,536.76,
"1020",2013-01-28,539.03,543.09,543.11,537.68,
"1021",2013-01-29,539.49,539.61,540.25,537.74,
"1022",2013-01-30,541.05,540.67,542.59,537.69,
"1023",2013-01-31,535.73,543.62,546.31,535.73,
"1024",2013-02-01,547.66,536.67,549.26,536.5,
"1025",2013-02-04,547.74,546.61,554.7,546.61,
"1026",2013-02-05,552.39,545.92,553.56,545.54,
"1027",2013-02-06,551.7,552.2,559.63,549.57,
"1028",2013-02-07,553.46,554.09,562.26,552.9,
"1029",2013-02-08,556.88,555.46,556.93,554.08,
"1030",2013-02-11,520.37,517.1,526.35,511.09,
"1031",2013-02-12,522.44,522.8,523.96,520.66,
"1032",2013-02-13,527.35,525.17,527.39,523.28,
"1033",2013-02-14,531.54,527.92,532.96,527.55,
"1034",2013-02-15,531.89,531.32,532.2,529.32,
"1035",2013-02-18,528.85,528.4,529.56,527.03,
"1036",2013-02-19,534.17,529.25,534.28,528.71,
"1037",2013-02-20,540.3,534.48,540.39,533.68,
"1038",2013-02-21,536.13,538.9,542.02,534.95,
"1039",2013-02-22,539.49,534.86,541.82,534.85,
"1040",2013-02-25,543.41,542.26,546.08,542.26,
"1041",2013-02-26,544.78,537.43,544.91,536.32,
"1042",2013-02-27,543.04,543.92,544.87,540.46,
"1043",2013-02-28,546.55,545.26,547.66,544.74,
"1044",2013-03-01,549.11,547.19,551.58,547,
"1045",2013-03-04,556.56,548.06,556.65,547.75,
"1046",2013-03-05,562.55,557.56,564.61,557.56,
"1047",2013-03-06,557.76,561.79,562.7,557.61,
"1048",2013-03-07,552.03,559.6,560.02,551.25,
"1049",2013-03-08,552.76,551.71,555.02,551.64,
"1050",2013-03-11,554.94,554.28,556.32,553.96,
"1051",2013-03-12,554.46,554.68,556.66,553.55,
"1052",2013-03-13,555.82,554.53,556.3,553.06,
"1053",2013-03-14,554.81,557.08,559.25,552.27,
"1054",2013-03-15,554.75,554.48,556.95,553.52,
