"","KOSPI (KS11)_history.csv Date","KOSPI (KS11)_history.csv Price","KOSPI (KS11)_history.csv Open","KOSPI (KS11)_history.csv High","KOSPI (KS11)_history.csv Low","KOSPI (KS11)_history.csv Volume"
"517",2011-01-19,2115.69,2106.53,2119.24,2084.08,"423850"
"518",2011-01-20,2106.66,2111.41,2114.2,2102.61,"333160"
"519",2011-01-21,2069.92,2103.74,2104.39,2066.82,"393720"
"520",2011-01-24,2082.16,2067.32,2082.97,2064,"338870"
"521",2011-01-25,2086.67,2092.27,2105.33,2083.8,"400890"
"522",2011-01-26,2110.46,2093.59,2112.33,2092.41,"363930"
"523",2011-01-27,2115.01,2115.04,2121.06,2108.53,"352410"
"524",2011-01-28,2107.87,2115.69,2119.49,2095.36,"403420"
"525",2011-01-31,2069.73,2080.6,2089.72,2069.73,"320900"
"526",2011-02-01,2072.03,2079.92,2086.56,2071.73,"290810"
"527",2011-02-07,2081.74,2102.76,2107.83,2081.73,"285940"
"528",2011-02-08,2069.7,2090.47,2092.43,2066.71,"300330"
"529",2011-02-09,2045.58,2077.12,2077.12,2037.3,"333190"
"530",2011-02-10,2008.5,2041.07,2043.07,2008.5,"309760"
"531",2011-02-11,1977.19,2010.29,2021.42,1975.47,"317290"
"532",2011-02-14,2014.59,1999.09,2015.84,1986.94,"279510"
"533",2011-02-15,2010.52,2018.4,2029.99,2003.58,"275030"
"534",2011-02-16,1989.11,2007.08,2021.69,1989.11,"297630"
"535",2011-02-17,1977.22,2002,2006.59,1959.71,"340280"
"536",2011-02-18,2013.14,1989.24,2015.78,1981.75,"493970"
"537",2011-02-21,2005.3,2014.15,2014.98,1991.7,"324240"
"538",2011-02-22,1969.92,1978.34,1982.7,1958.77,"346090"
"539",2011-02-23,1961.63,1962.7,1977.99,1951.75,"308590"
"540",2011-02-24,1949.88,1957.63,1970.66,1945.41,"281570"
"541",2011-02-25,1963.43,1956.02,1965.48,1941.15,"306890"
"542",2011-02-28,1939.3,1954.4,1958.59,1935.93,"263870"
"543",2011-03-02,1928.24,1922.38,1940.78,1921.34,"207670"
"544",2011-03-03,1970.66,1942.24,1970.66,1941.23,"284830"
"545",2011-03-04,2004.68,1989.88,2008.89,1984.15,"334580"
"546",2011-03-07,1980.27,1996.48,2005.43,1978.13,"255920"
"547",2011-03-08,1996.32,1984.08,2007.24,1974.73,"304750"
"548",2011-03-09,2001.47,2007.79,2016.68,1991.52,"315360"
