"","PSI 20 (PSI20)_history.csv Date","PSI 20 (PSI20)_history.csv Price","PSI 20 (PSI20)_history.csv Open","PSI 20 (PSI20)_history.csv High","PSI 20 (PSI20)_history.csv Low","PSI 20 (PSI20)_history.csv Volume"
"539",2012-06-21,4660.63,4666.19,4686.59,4616.29,"48090000"
"540",2012-06-22,4694.25,4621.44,4699.09,4621.22,"51440000"
"541",2012-06-25,4649.9,4703.58,4715.09,4626.22,"41230000"
"542",2012-06-26,4556.36,4658.54,4665.74,4541.36,"46120000"
"543",2012-06-27,4628.96,4589.99,4636.23,4566.56,"28590000"
"544",2012-06-28,4582.94,4631.83,4631.83,4565.38,"55960000"
"545",2012-06-29,4697.96,4669.61,4729.17,4644.5,"89310000"
"546",2012-07-02,4805.38,4714.45,4808.08,4705.63,"73380000"
"547",2012-07-03,4893.93,4838.98,4895.91,4837.92,"57790000"
"548",2012-07-04,4945.84,4889.82,4955.51,4872.65,"53450000"
"549",2012-07-05,4863.18,4953.77,4957.88,4837.92,"67420000"
"550",2012-07-06,4739.43,4865.68,4866.49,4739.43,"47060000"
"551",2012-07-09,4752.19,4758.92,4796.45,4720.27,"34710000"
"552",2012-07-10,4794.64,4764.35,4820.86,4747.67,"30870000"
"553",2012-07-11,4797.68,4769.39,4815.77,4769.39,"25210000"
"554",2012-07-12,4796.84,4821.12,4823.62,4780.39,"27520000"
"555",2012-07-13,4838.63,4818.46,4850.95,4806.94,"27130000"
"556",2012-07-16,4812.1,4845.74,4845.74,4782.42,"33570000"
"557",2012-07-17,4850.4,4837.43,4882.7,4828.39,"40450000"
"558",2012-07-18,4860.81,4855.3,4870.37,4822.5,"32870000"
"559",2012-07-19,4857.94,4873.24,4883.16,4849.8,"35620000"
"560",2012-07-20,4754.22,4858.99,4868.17,4709.28,"48720000"
"561",2012-07-23,4591.92,4695.73,4696.41,4567.91,"58850000"
"562",2012-07-24,4485.42,4633.2,4635.04,4480.48,"40060000"
"563",2012-07-25,4434.26,4451.2,4469.64,4419.36,"39240000"
"564",2012-07-26,4552.74,4425.91,4552.74,4404.78,"54860000"
"565",2012-07-27,4613.33,4561.6,4614.75,4515.5,"51890000"
"566",2012-07-30,4684.82,4625.52,4696.31,4623.57,"37340000"
"567",2012-07-31,4688.08,4692.89,4693.59,4605.34,"52150000"
"568",2012-08-01,4648.33,4681.66,4695.67,4644.46,"36160000"
"569",2012-08-02,4569.04,4673.1,4673.69,4553.31,"53420000"
"570",2012-08-03,4633.45,4571.99,4650.34,4556.08,"44940000"
"571",2012-08-06,4706.01,4631.54,4706.01,4607.63,"37060000"
"572",2012-08-07,4835.74,4704.14,4855.34,4704.14,"88220000"
"573",2012-08-08,4831.24,4845.38,4852.76,4799.67,"37220000"
"574",2012-08-09,4870.09,4863.97,4873.09,4816.5,"30340000"
"575",2012-08-10,4843.98,4843.22,4868.39,4824.62,"74980000"
