"","S&P ASX 200 (AXJO)_history.csv Date","S&P ASX 200 (AXJO)_history.csv Price","S&P ASX 200 (AXJO)_history.csv Open","S&P ASX 200 (AXJO)_history.csv High","S&P ASX 200 (AXJO)_history.csv Low","S&P ASX 200 (AXJO)_history.csv Volume"
"1513",2014-12-02,5281.26,5207.7,5284.9,5207.7,"724280000"
"1514",2014-12-03,5321.82,5281.3,5331.6,5261.5,"645930000"
"1515",2014-12-04,5368.79,5321.8,5373.5,5321.8,"631940000"
"1516",2014-12-05,5335.33,5368.8,5389.4,5308.2,"639350000"
"1517",2014-12-07,5374.1,5335.3,5383.4,5335.3,"116860000"
"1518",2014-12-08,5372.71,5335.3,5404.1,5335.3,"601700000"
"1519",2014-12-09,5282.67,5372.7,5372.7,5282.67,"776690000"
"1520",2014-12-10,5259,5282.7,5288.4,5222.4,"661130000"
"1521",2014-12-11,5230.97,5259,5259,5188,"736330000"
"1522",2014-12-12,5219.57,5231,5241.5,5204,"641040000"
"1523",2014-12-14,5149.8,5219.6,5219.6,5146.1,"127340000"
"1524",2014-12-15,5186.08,5219.6,5219.6,5146.1,"552910000"
"1525",2014-12-16,5152.34,5186.1,5186.1,5142.8,"617070000"
"1526",2014-12-17,5161.86,5152.3,5191.3,5150.2,"603270000"
"1527",2014-12-18,5210.78,5161.9,5265,5161.9,"862030000"
"1528",2014-12-19,5338.65,5210.8,5343.1,5210.8,"1.44e+09"
"1529",2014-12-21,5394.7,5338.6,5409.2,5338.6,"210900000"
"1530",2014-12-22,5441.95,5338.6,5442,5338.6,"739140000"
"1531",2014-12-23,5380.92,5442,5442,5380.9,"445100000"
"1532",2014-12-24,5394.53,5380.9,5398.2,5366.5,"233660000"
"1533",2014-12-28,5419.3,5394.5,5425.9,5394.5,"56300000"
"1534",2014-12-29,5473.78,5394.5,5479.9,5394.5,"351350000"
"1535",2014-12-30,5416.63,5473.8,5486.7,5416.2,"365320000"
"1536",2014-12-31,5411.02,5416.6,5437.2,5400,"240560000"
"1537",2015-01-01,5400,5411,5412,5387,"56700000"
"1538",2015-01-02,5435.93,5411,5436.3,5387,"277710000"
"1539",2015-01-04,5455.7,5435.9,5470.4,5429.6,"100140000"
"1540",2015-01-05,5450.33,5435.9,5470.4,5429.6,"428320000"
"1541",2015-01-06,5364.8,5450.3,5450.3,5338.6,"569610000"
"1542",2015-01-07,5353.61,5364.8,5369.8,5318.7,"568110000"
"1543",2015-01-08,5381.45,5353.6,5395.8,5353.6,"615250000"
"1544",2015-01-09,5465.57,5381.5,5465.6,5381.5,"552130000"
"1545",2015-01-11,5442.7,5465.6,5465.6,5424,"78170000"
"1546",2015-01-12,5422.7,5465.6,5465.6,5419.4,"424620000"
"1547",2015-01-13,5404.69,5422.7,5422.7,5373.7,"518470000"
"1548",2015-01-14,5353.6,5404.7,5405.7,5346.6,"622840000"
"1549",2015-01-15,5331.37,5353.6,5353.6,5303.7,"682070000"
"1550",2015-01-16,5299.24,5331.4,5333.9,5267.4,"587590000"
"1551",2015-01-18,5352.8,5299.2,5362.2,5299.2,"100570000"
"1552",2015-01-19,5309.14,5299.2,5372.4,5299.2,"543930000"
"1553",2015-01-20,5307.67,5309.1,5313.9,5282.4,"557590000"
"1554",2015-01-21,5393.38,5307.7,5393.4,5307.7,"598160000"
"1555",2015-01-22,5419.94,5393.4,5432.4,5393.4,"683970000"
"1556",2015-01-23,5501.82,5419.9,5501.82,5419.9,"591090000"
"1557",2015-01-26,5516.3,5501.8,5521.5,5497.3,"155130000"
"1558",2015-01-27,5547.23,5501.8,5547.23,5497.3,"685340000"
"1559",2015-01-28,5552.78,5547.2,5559.1,5521.2,"609350000"
"1560",2015-01-29,5569.48,5552.8,5576.2,5518.6,"701800000"
"1561",2015-01-30,5588.32,5569.5,5619.5,5569.5,"887250000"
"1562",2015-02-01,5601.6,5594.4,5617.5,5591.1,"106840000"
"1563",2015-02-02,5625.34,5588.3,5639.4,5588.3,"563660000"
"1564",2015-02-03,5707.37,5625.3,5717.5,5625.3,"760390000"
"1565",2015-02-04,5777.34,5707.4,5805.1,5707.4,"950700000"
"1566",2015-02-05,5810.98,5777.3,5819.1,5757.9,"694490000"
"1567",2015-02-06,5820.17,5811,5850.9,5809.5,"571620000"
"1568",2015-02-08,5790.2,5803.5,5813.6,5790.2,"449540000"
"1569",2015-02-09,5814.93,5820.2,5820.2,5779.6,"891510000"
"1570",2015-02-10,5800.57,5814.9,5819.4,5781.2,"554750000"
"1571",2015-02-11,5769.08,5800.6,5818.9,5757.4,"602280000"
"1572",2015-02-12,5743.57,5769.1,5790.5,5739.8,"818210000"
