"","FTSE 100 (FTSE)_history.csv Date","FTSE 100 (FTSE)_history.csv Price","FTSE 100 (FTSE)_history.csv Open","FTSE 100 (FTSE)_history.csv High","FTSE 100 (FTSE)_history.csv Low","FTSE 100 (FTSE)_history.csv Volume"
"737",2011-12-01,5489.34,5505.42,5553.89,5486.87,"939170000"
"738",2011-12-02,5552.29,5489.34,5595.54,5489.07,"984100000"
"739",2011-12-05,5567.96,5552.29,5602.8,5545.93,"900660000"
"740",2011-12-06,5568.72,5567.96,5592.95,5521.91,"857310000"
"741",2011-12-07,5546.91,5568.72,5631.88,5497.96,"932150000"
"742",2011-12-08,5483.77,5546.91,5605.27,5483.77,"907440000"
"743",2011-12-09,5529.21,5483.77,5540.52,5440.86,"841430000"
"744",2011-12-12,5427.86,5529.21,5529.21,5427.86,"801330000"
"745",2011-12-13,5490.15,5427.86,5525.96,5413.7,"757730000"
"746",2011-12-14,5366.8,5490.15,5490.15,5366.8,"860720000"
"747",2011-12-15,5400.85,5366.8,5434.02,5366.8,"803270000"
"748",2011-12-16,5387.34,5400.85,5452.65,5387.34,"1.27e+09"
"749",2011-12-19,5364.99,5387.34,5410.06,5343.08,"632320000"
"750",2011-12-20,5419.6,5364.99,5426.28,5328.67,"779730000"
"751",2011-12-21,5389.74,5419.6,5479.19,5371.65,"803790000"
"752",2011-12-22,5456.97,5389.74,5469.03,5389.74,"610840000"
"753",2011-12-23,5512.7,5456.97,5516.63,5456.97,"204750000"
"754",2011-12-28,5507.4,5512.7,5567.86,5490.96,"449840000"
"755",2011-12-29,5566.77,5507.4,5566.77,5496.87,"325750000"
"756",2011-12-30,5572.28,5566.77,5588.39,5535.2,"188110000"
"757",2012-01-03,5699.91,5572.28,5699.91,5572.28,"778530000"
"758",2012-01-04,5668.45,5699.91,5719.83,5646.36,"696940000"
"759",2012-01-05,5624.26,5668.45,5689.33,5614.38,"794280000"
"760",2012-01-06,5649.68,5624.26,5682.78,5623.36,"705020000"
"761",2012-01-09,5612.26,5649.68,5673.82,5604.62,"785650000"
"762",2012-01-10,5696.7,5612.26,5711.89,5612.26,"865030000"
"763",2012-01-11,5670.82,5696.7,5700.75,5644.75,"893410000"
"764",2012-01-12,5662.42,5670.82,5699.57,5640.3,"1.38e+09"
"765",2012-01-13,5636.64,5662.42,5709.22,5583.45,"1.32e+09"
"766",2012-01-16,5657.44,5636.64,5662.88,5609.87,"672820000"
"767",2012-01-17,5693.95,5657.44,5724.41,5657.44,"1.23e+09"
"768",2012-01-18,5702.37,5693.95,5709.87,5647.92,"792320000"
"769",2012-01-19,5741.15,5702.37,5743.93,5693.16,"1.4e+09"
"770",2012-01-20,5728.55,5741.15,5749.77,5721.61,"1.32e+09"
"771",2012-01-23,5782.56,5728.55,5789.85,5723.09,"852460000"
"772",2012-01-24,5751.9,5782.56,5782.56,5719.86,"916100000"
"773",2012-01-25,5723,5751.9,5777.69,5694.05,"884690000"
"774",2012-01-26,5795.2,5723,5806.24,5722.83,"874330000"
"775",2012-01-27,5733.45,5795.2,5795.2,5728.96,"790050000"
"776",2012-01-30,5671.09,5733.45,5733.45,5651.56,"778100000"
"777",2012-01-31,5681.61,5671.09,5730.32,5671.09,"1.02e+09"
"778",2012-02-01,5790.72,5681.61,5790.72,5680.67,"985250000"
"779",2012-02-02,5796.07,5790.72,5809.82,5765.72,"967390000"
"780",2012-02-03,5901.07,5796.07,5901.07,5784.23,"1.16e+09"
"781",2012-02-06,5892.2,5901.07,5901.07,5863.55,"828460000"
"782",2012-02-07,5890.26,5892.2,5906.65,5850.49,"785340000"
"783",2012-02-08,5875.93,5890.26,5916.2,5871.33,"809270000"
"784",2012-02-09,5895.47,5875.93,5916.31,5870.55,"973460000"
"785",2012-02-10,5852.39,5895.47,5895.47,5839.85,"948790000"
"786",2012-02-13,5905.7,5852.39,5920.09,5852.39,"641640000"
"787",2012-02-14,5899.87,5905.7,5920.61,5877.21,"832570000"
"788",2012-02-15,5892.16,5899.87,5923.78,5880.62,"801550000"
"789",2012-02-16,5885.38,5892.16,5892.36,5829.38,"751180000"
"790",2012-02-17,5905.07,5885.38,5923.62,5885.38,"1.1e+09"
"791",2012-02-20,5945.25,5905.07,5956.33,5905.07,"723670000"
