"","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Date","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Price","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Open","Jakarta Stock Exchange Composite Index (JKSE)_history.csv High","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Low","Jakarta Stock Exchange Composite Index (JKSE)_history.csv Volume"
"538",2011-03-17,3484.21,3531.29,3531.29,3465.61,"2.22e+09"
"539",2011-03-18,3494.07,3484.77,3511.67,3476.64,"2.76e+09"
"540",2011-03-21,3518.85,3493.14,3519.87,3493.14,"1.73e+09"
"541",2011-03-22,3517.72,3518.94,3530.39,3497.55,"1.65e+09"
"542",2011-03-23,3556.23,3517.11,3556.34,3508.59,"1.98e+09"
"543",2011-03-24,3611.64,3556.51,3611.92,3551.42,"3.6e+09"
"544",2011-03-25,3607.11,3611.83,3639.69,3591.54,"2.59e+09"
"545",2011-03-28,3602.86,3602.82,3612.2,3580.99,"1.94e+09"
"546",2011-03-29,3591.51,3601.92,3601.92,3570.4,"3.01e+09"
"547",2011-03-30,3640.98,3591.62,3641.85,3591.53,"3.52e+09"
"548",2011-03-31,3678.67,3641.16,3683.47,3637.43,"3.89e+09"
"549",2011-04-01,3707.49,3679.05,3709.38,3678.29,"2.84e+09"
"550",2011-04-04,3700.05,3707.39,3729.3,3681.81,"2.54e+09"
"551",2011-04-05,3685.94,3699.77,3699.94,3672.72,"2.79e+09"
"552",2011-04-06,3727.8,3685.84,3728.17,3671.18,"3.53e+09"
"553",2011-04-07,3730.58,3729.71,3741.83,3704.43,"3.13e+09"
"554",2011-04-08,3741.81,3730.68,3749.27,3724.02,"3.1e+09"
"555",2011-04-11,3745.84,3740.87,3768.02,3732.28,"2.63e+09"
"556",2011-04-12,3719.23,3745.65,3745.65,3701.11,"2.34e+09"
"557",2011-04-13,3734.41,3718.95,3736.09,3701.34,"3.3e+09"
"558",2011-04-14,3707.98,3734.6,3734.6,3697.43,"2.71e+09"
"559",2011-04-15,3730.51,3707.89,3733.49,3706.68,"2.86e+09"
"560",2011-04-18,3727.07,3730.03,3738.93,3712.18,"2.4e+09"
"561",2011-04-19,3732.65,3726.89,3732.79,3691.29,"2.79e+09"
"562",2011-04-20,3794.76,3732.93,3794.76,3732.93,"5.21e+09"
"563",2011-04-21,3801.08,3796.43,3813.18,3784.94,"3.31e+09"
"564",2011-04-25,3788.54,3801.36,3809.8,3777.43,"2.34e+09"
"565",2011-04-26,3774.87,3787.6,3790.47,3743.77,"3.97e+09"
"566",2011-04-27,3804.93,3775.15,3806.96,3775.15,"4.91e+09"
"567",2011-04-28,3808.93,3805.02,3824.07,3787.86,"3.89e+09"
"568",2011-04-29,3819.62,3807.99,3822.64,3796.71,"3.57e+09"
"569",2011-05-02,3849.3,3819.8,3849.3,3819.8,"3.84e+09"
"570",2011-05-03,3813.87,3847.39,3847.39,3802.69,"4.6e+09"
"571",2011-05-04,3814.93,3813.68,3815.35,3783.48,"6.53e+09"
"572",2011-05-05,3816.27,3814.46,3817.47,3787.94,"7.32e+09"
"573",2011-05-06,3798.55,3815.99,3815.99,3781.35,"4.77e+09"
"574",2011-05-09,3785.45,3798.74,3803.53,3777.51,"4.21e+09"
"575",2011-05-10,3800.52,3786.4,3801.5,3782.17,"8.58e+09"
"576",2011-05-11,3838.14,3800.61,3838.42,3800.61,"7.18e+09"
"577",2011-05-12,3808.71,3837.77,3837.77,3795.55,"9.75e+09"
"578",2011-05-13,3832.02,3809.43,3832.02,3809.43,"8.79e+09"
"579",2011-05-16,3799.23,3831.93,3831.93,3784.26,"4.8e+09"
"580",2011-05-18,3840.21,3800.17,3845.04,3800.17,"5.47e+09"
"581",2011-05-19,3859.81,3840.58,3867.27,3840.58,"6.23e+09"
"582",2011-05-20,3872.95,3859.9,3872.95,3855.89,"3.72e+09"
"583",2011-05-23,3778.45,3872.21,3872.21,3763.06,"6.94e+09"
"584",2011-05-24,3785.94,3778.36,3786.01,3765.98,"5.66e+09"
"585",2011-05-25,3780.16,3785.47,3786.9,3760.79,"4.5e+09"
"586",2011-05-26,3814.82,3780.35,3818.46,3780.35,"3.64e+09"
"587",2011-05-27,3832.38,3814.72,3835.46,3790.9,"2.51e+09"
"588",2011-05-30,3826.14,3831.43,3836.87,3813.66,"3.01e+09"
