Date;Transactions;;;;
04/01/2012 00:00;5636.0;;;;
06/01/2012 00:00;6361.0;;;;
08/01/2012 00:00;6290.0;;;;
10/01/2012 00:00;6589.0;;;;
12/01/2012 00:00;6943.0;;;;
14/01/2012 00:00;6734.0;;;;
16/01/2012 00:00;6685.0;;;;
18/01/2012 00:00;7215.0;;;;
20/01/2012 00:00;6718.0;;;;
22/01/2012 00:00;5259.0;;;;
24/01/2012 00:00;6817.0;;;;
26/01/2012 00:00;6736.0;;;;
28/01/2012 00:00;6095.0;;;;
30/01/2012 00:00;6019.0;;;;
01/02/2012 00:00;6900.0;;;;
03/02/2012 00:00;6943.0;;;;
05/02/2012 00:00;6616.0;;;;
07/02/2012 00:00;6799.0;;;;
09/02/2012 00:00;7259.0;;;;
11/02/2012 00:00;7624.0;;;;
13/02/2012 00:00;7514.0;;;;
15/02/2012 00:00;9511.0;;;;
17/02/2012 00:00;7128.0;;;;
19/02/2012 00:00;5932.0;;;;
21/02/2012 00:00;6348.0;;;;
23/02/2012 00:00;7881.0;;;;
25/02/2012 00:00;6588.0;;;;
27/02/2012 00:00;6475.0;;;;
29/02/2012 00:00;6825.0;;;;
02/03/2012 00:00;7696.0;;;;
04/03/2012 00:00;6017.0;;;;
06/03/2012 00:00;6713.0;;;;
08/03/2012 00:00;6635.0;;;;
10/03/2012 00:00;6054.0;;;;
12/03/2012 00:00;5728.0;;;;
14/03/2012 00:00;7096.0;;;;
16/03/2012 00:00;6706.0;;;;
18/03/2012 00:00;5745.0;;;;
20/03/2012 00:00;6604.0;;;;
22/03/2012 00:00;6756.0;;;;
24/03/2012 00:00;6461.0;;;;
26/03/2012 00:00;6469.0;;;;
28/03/2012 00:00;7134.0;;;;
30/03/2012 00:00;7174.0;;;;
01/04/2012 00:00;5619.0;;;;
03/04/2012 00:00;7539.0;;;;
05/04/2012 00:00;6977.0;;;;
07/04/2012 00:00;6152.0;;;;
09/04/2012 00:00;6045.0;;;;
11/04/2012 00:00;7485.0;;;;
13/04/2012 00:00;7549.0;;;;
15/04/2012 00:00;7313.0;;;;
17/04/2012 00:00;8354.0;;;;
19/04/2012 00:00;8023.0;;;;
21/04/2012 00:00;7770.0;;;;
23/04/2012 00:00;6845.0;;;;
25/04/2012 00:00;7746.0;;;;
27/04/2012 00:00;7066.0;;;;
29/04/2012 00:00;8050.0;;;;
01/05/2012 00:00;10070.0;;;;
03/05/2012 00:00;12283.0;;;;
05/05/2012 00:00;13590.0;;;;
07/05/2012 00:00;16283.0;;;;
09/05/2012 00:00;18865.0;;;;
11/05/2012 00:00;14196.0;;;;
13/05/2012 00:00;14084.0;;;;
15/05/2012 00:00;20817.0;;;;
17/05/2012 00:00;14892.0;;;;
19/05/2012 00:00;38132.0;;;;
21/05/2012 00:00;29133.0;;;;
23/05/2012 00:00;26784.0;;;;
25/05/2012 00:00;29007.0;;;;
27/05/2012 00:00;22251.0;;;;
29/05/2012 00:00;31160.0;;;;
31/05/2012 00:00;20951.0;;;;
02/06/2012 00:00;18570.0;;;;
04/06/2012 00:00;44984.0;;;;
06/06/2012 00:00;18275.0;;;;
08/06/2012 00:00;26974.0;;;;
10/06/2012 00:00;39328.0;;;;
12/06/2012 00:00;20796.0;;;;
14/06/2012 00:00;56997.0;;;;
16/06/2012 00:00;49313.0;;;;
18/06/2012 00:00;39028.0;;;;
20/06/2012 00:00;33475.0;;;;
22/06/2012 00:00;25550.0;;;;
24/06/2012 00:00;21880.0;;;;
26/06/2012 00:00;32547.0;;;;
28/06/2012 00:00;27315.0;;;;
30/06/2012 00:00;23608.0;;;;
02/07/2012 00:00;25272.0;;;;
04/07/2012 00:00;21992.0;;;;
06/07/2012 00:00;21962.0;;;;
08/07/2012 00:00;21697.0;;;;
10/07/2012 00:00;33442.0;;;;
12/07/2012 00:00;26493.0;;;;
14/07/2012 00:00;25417.0;;;;
16/07/2012 00:00;30561.0;;;;
18/07/2012 00:00;30733.0;;;;
20/07/2012 00:00;35383.0;;;;
22/07/2012 00:00;29975.0;;;;
24/07/2012 00:00;29945.0;;;;
26/07/2012 00:00;30652.0;;;;
28/07/2012 00:00;33187.0;;;;
30/07/2012 00:00;38204.0;;;;
01/08/2012 00:00;34163.0;;;;
03/08/2012 00:00;29356.0;;;;
05/08/2012 00:00;32003.0;;;;
07/08/2012 00:00;28636.0;;;;
09/08/2012 00:00;33117.0;;;;
11/08/2012 00:00;29979.0;;;;
13/08/2012 00:00;49678.0;;;;
15/08/2012 00:00;49070.0;;;;
17/08/2012 00:00;40897.0;;;;
19/08/2012 00:00;35022.0;;;;
21/08/2012 00:00;40494.0;;;;
23/08/2012 00:00;31765.0;;;;
25/08/2012 00:00;35491.0;;;;
27/08/2012 00:00;31308.0;;;;
29/08/2012 00:00;33804.0;;;;
31/08/2012 00:00;41495.0;;;;
02/09/2012 00:00;31268.0;;;;
04/09/2012 00:00;36940.0;;;;
06/09/2012 00:00;44218.0;;;;
08/09/2012 00:00;34359.0;;;;
10/09/2012 00:00;32055.0;;;;
12/09/2012 00:00;30406.0;;;;
14/09/2012 00:00;35146.0;;;;
16/09/2012 00:00;27351.0;;;;
18/09/2012 00:00;31313.0;;;;
20/09/2012 00:00;33825.0;;;;
22/09/2012 00:00;23847.0;;;;
24/09/2012 00:00;31279.0;;;;
26/09/2012 00:00;31886.0;;;;
28/09/2012 00:00;29898.0;;;;
30/09/2012 00:00;21143.0;;;;
02/10/2012 00:00;28543.0;;;;
04/10/2012 00:00;29518.0;;;;
06/10/2012 00:00;35662.0;;;;
08/10/2012 00:00;38366.0;;;;
10/10/2012 00:00;32255.0;;;;
12/10/2012 00:00;24200.0;;;;
14/10/2012 00:00;26981.0;;;;
16/10/2012 00:00;33464.0;;;;
18/10/2012 00:00;28432.0;;;;
20/10/2012 00:00;27673.0;;;;
22/10/2012 00:00;35647.0;;;;
24/10/2012 00:00;33568.0;;;;
26/10/2012 00:00;22540.0;;;;
28/10/2012 00:00;17381.0;;;;
30/10/2012 00:00;29930.0;;;;
01/11/2012 00:00;25458.0;;;;
03/11/2012 00:00;25264.0;;;;
05/11/2012 00:00;32202.0;;;;
07/11/2012 00:00;37442.0;;;;
09/11/2012 00:00;26851.0;;;;
11/11/2012 00:00;23728.0;;;;
13/11/2012 00:00;24841.0;;;;
15/11/2012 00:00;37743.0;;;;
17/11/2012 00:00;34273.0;;;;
19/11/2012 00:00;35160.0;;;;
21/11/2012 00:00;41245.0;;;;
23/11/2012 00:00;31482.0;;;;
25/11/2012 00:00;34821.0;;;;
27/11/2012 00:00;29528.0;;;;
29/11/2012 00:00;39050.0;;;;
