project,article,granularity,timestamp,access,agent,views
en.wikipedia,Bitcoin,daily,2016012900,all-access,all-agents,10328
en.wikipedia,Bitcoin,daily,2016013000,all-access,all-agents,7571
en.wikipedia,Bitcoin,daily,2016013100,all-access,all-agents,7165
en.wikipedia,Bitcoin,daily,2016020100,all-access,all-agents,8640
en.wikipedia,Bitcoin,daily,2016020200,all-access,all-agents,9008
en.wikipedia,Bitcoin,daily,2016020300,all-access,all-agents,8621
en.wikipedia,Bitcoin,daily,2016020400,all-access,all-agents,8881
en.wikipedia,Bitcoin,daily,2016020500,all-access,all-agents,7503
en.wikipedia,Bitcoin,daily,2016020600,all-access,all-agents,6998
en.wikipedia,Bitcoin,daily,2016020700,all-access,all-agents,7706
en.wikipedia,Bitcoin,daily,2016020800,all-access,all-agents,8250
en.wikipedia,Bitcoin,daily,2016020900,all-access,all-agents,8654
en.wikipedia,Bitcoin,daily,2016021000,all-access,all-agents,8749
en.wikipedia,Bitcoin,daily,2016021100,all-access,all-agents,8899
en.wikipedia,Bitcoin,daily,2016021200,all-access,all-agents,8609
en.wikipedia,Bitcoin,daily,2016021300,all-access,all-agents,7796
en.wikipedia,Bitcoin,daily,2016021400,all-access,all-agents,9550
en.wikipedia,Bitcoin,daily,2016021500,all-access,all-agents,11809
en.wikipedia,Bitcoin,daily,2016021600,all-access,all-agents,12099
en.wikipedia,Bitcoin,daily,2016021700,all-access,all-agents,11718
en.wikipedia,Bitcoin,daily,2016021800,all-access,all-agents,22422
en.wikipedia,Bitcoin,daily,2016021900,all-access,all-agents,16070
en.wikipedia,Bitcoin,daily,2016022000,all-access,all-agents,11918
en.wikipedia,Bitcoin,daily,2016022100,all-access,all-agents,11716
en.wikipedia,Bitcoin,daily,2016022200,all-access,all-agents,11513
en.wikipedia,Bitcoin,daily,2016022300,all-access,all-agents,10863
en.wikipedia,Bitcoin,daily,2016022400,all-access,all-agents,10723
en.wikipedia,Bitcoin,daily,2016022500,all-access,all-agents,11566
en.wikipedia,Bitcoin,daily,2016022600,all-access,all-agents,8885
en.wikipedia,Bitcoin,daily,2016022700,all-access,all-agents,8268
en.wikipedia,Bitcoin,daily,2016022800,all-access,all-agents,7831
en.wikipedia,Bitcoin,daily,2016022900,all-access,all-agents,9651
en.wikipedia,Bitcoin,daily,2016030100,all-access,all-agents,10153
en.wikipedia,Bitcoin,daily,2016030200,all-access,all-agents,9459
en.wikipedia,Bitcoin,daily,2016030300,all-access,all-agents,10031
en.wikipedia,Bitcoin,daily,2016030400,all-access,all-agents,8543
en.wikipedia,Bitcoin,daily,2016030500,all-access,all-agents,7679
en.wikipedia,Bitcoin,daily,2016030600,all-access,all-agents,8557
en.wikipedia,Bitcoin,daily,2016030700,all-access,all-agents,10637
en.wikipedia,Bitcoin,daily,2016030800,all-access,all-agents,10109
en.wikipedia,Bitcoin,daily,2016030900,all-access,all-agents,9119
en.wikipedia,Bitcoin,daily,2016031000,all-access,all-agents,8640
en.wikipedia,Bitcoin,daily,2016031100,all-access,all-agents,8023
en.wikipedia,Bitcoin,daily,2016031200,all-access,all-agents,6626
en.wikipedia,Bitcoin,daily,2016031300,all-access,all-agents,9435
en.wikipedia,Bitcoin,daily,2016031400,all-access,all-agents,10794
en.wikipedia,Bitcoin,daily,2016031500,all-access,all-agents,10409
en.wikipedia,Bitcoin,daily,2016031600,all-access,all-agents,9168
en.wikipedia,Bitcoin,daily,2016031700,all-access,all-agents,8368
en.wikipedia,Bitcoin,daily,2016031800,all-access,all-agents,7623
en.wikipedia,Bitcoin,daily,2016031900,all-access,all-agents,6247
en.wikipedia,Bitcoin,daily,2016032000,all-access,all-agents,7103
en.wikipedia,Bitcoin,daily,2016032100,all-access,all-agents,8780
en.wikipedia,Bitcoin,daily,2016032200,all-access,all-agents,9147
en.wikipedia,Bitcoin,daily,2016032300,all-access,all-agents,8634
en.wikipedia,Bitcoin,daily,2016032400,all-access,all-agents,9154
en.wikipedia,Bitcoin,daily,2016032500,all-access,all-agents,7603
en.wikipedia,Bitcoin,daily,2016032600,all-access,all-agents,6543
en.wikipedia,Bitcoin,daily,2016032700,all-access,all-agents,7363
en.wikipedia,Bitcoin,daily,2016032800,all-access,all-agents,8920
en.wikipedia,Bitcoin,daily,2016032900,all-access,all-agents,9056
en.wikipedia,Bitcoin,daily,2016033000,all-access,all-agents,8738
en.wikipedia,Bitcoin,daily,2016033100,all-access,all-agents,8747
en.wikipedia,Bitcoin,daily,2016040100,all-access,all-agents,7796
en.wikipedia,Bitcoin,daily,2016040200,all-access,all-agents,7048
en.wikipedia,Bitcoin,daily,2016040300,all-access,all-agents,7701
en.wikipedia,Bitcoin,daily,2016040400,all-access,all-agents,8945
en.wikipedia,Bitcoin,daily,2016040500,all-access,all-agents,10338
en.wikipedia,Bitcoin,daily,2016040600,all-access,all-agents,8844
en.wikipedia,Bitcoin,daily,2016040700,all-access,all-agents,8596
en.wikipedia,Bitcoin,daily,2016040800,all-access,all-agents,9075
en.wikipedia,Bitcoin,daily,2016040900,all-access,all-agents,6639
en.wikipedia,Bitcoin,daily,2016041000,all-access,all-agents,7263
en.wikipedia,Bitcoin,daily,2016041100,all-access,all-agents,9580
en.wikipedia,Bitcoin,daily,2016041200,all-access,all-agents,9069
en.wikipedia,Bitcoin,daily,2016041300,all-access,all-agents,9421
en.wikipedia,Bitcoin,daily,2016041400,all-access,all-agents,9188
en.wikipedia,Bitcoin,daily,2016041500,all-access,all-agents,8044
en.wikipedia,Bitcoin,daily,2016041600,all-access,all-agents,6127
en.wikipedia,Bitcoin,daily,2016041700,all-access,all-agents,6649
en.wikipedia,Bitcoin,daily,2016041800,all-access,all-agents,8199
en.wikipedia,Bitcoin,daily,2016041900,all-access,all-agents,9412
en.wikipedia,Bitcoin,daily,2016042000,all-access,all-agents,8777
en.wikipedia,Bitcoin,daily,2016042100,all-access,all-agents,11743
en.wikipedia,Bitcoin,daily,2016042200,all-access,all-agents,12084
en.wikipedia,Bitcoin,daily,2016042300,all-access,all-agents,7659
en.wikipedia,Bitcoin,daily,2016042400,all-access,all-agents,8797
en.wikipedia,Bitcoin,daily,2016042500,all-access,all-agents,9546
en.wikipedia,Bitcoin,daily,2016042600,all-access,all-agents,9756
en.wikipedia,Bitcoin,daily,2016042700,all-access,all-agents,9176
en.wikipedia,Bitcoin,daily,2016042800,all-access,all-agents,9900
en.wikipedia,Bitcoin,daily,2016042900,all-access,all-agents,8072
en.wikipedia,Bitcoin,daily,2016043000,all-access,all-agents,6586
en.wikipedia,Bitcoin,daily,2016050100,all-access,all-agents,7025
en.wikipedia,Bitcoin,daily,2016050200,all-access,all-agents,89547
en.wikipedia,Bitcoin,daily,2016050300,all-access,all-agents,45695
en.wikipedia,Bitcoin,daily,2016050400,all-access,all-agents,20558
en.wikipedia,Bitcoin,daily,2016050500,all-access,all-agents,25888
en.wikipedia,Bitcoin,daily,2016050600,all-access,all-agents,17502
en.wikipedia,Bitcoin,daily,2016050700,all-access,all-agents,11558
en.wikipedia,Bitcoin,daily,2016050800,all-access,all-agents,11613
en.wikipedia,Bitcoin,daily,2016050900,all-access,all-agents,13848
en.wikipedia,Bitcoin,daily,2016051000,all-access,all-agents,12811
en.wikipedia,Bitcoin,daily,2016051100,all-access,all-agents,16721
en.wikipedia,Bitcoin,daily,2016051200,all-access,all-agents,17175
en.wikipedia,Bitcoin,daily,2016051300,all-access,all-agents,9961
