project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ethereum,daily,2016011900,all-access,all-agents,930
en.wikipedia,Ethereum,daily,2016012000,all-access,all-agents,954
en.wikipedia,Ethereum,daily,2016012100,all-access,all-agents,1342
en.wikipedia,Ethereum,daily,2016012200,all-access,all-agents,1028
en.wikipedia,Ethereum,daily,2016012300,all-access,all-agents,983
en.wikipedia,Ethereum,daily,2016012400,all-access,all-agents,1275
en.wikipedia,Ethereum,daily,2016012500,all-access,all-agents,1817
en.wikipedia,Ethereum,daily,2016012600,all-access,all-agents,1722
en.wikipedia,Ethereum,daily,2016012700,all-access,all-agents,1498
en.wikipedia,Ethereum,daily,2016012800,all-access,all-agents,1304
en.wikipedia,Ethereum,daily,2016012900,all-access,all-agents,1082
en.wikipedia,Ethereum,daily,2016013000,all-access,all-agents,752
en.wikipedia,Ethereum,daily,2016013100,all-access,all-agents,886
en.wikipedia,Ethereum,daily,2016020100,all-access,all-agents,1125
en.wikipedia,Ethereum,daily,2016020200,all-access,all-agents,1014
en.wikipedia,Ethereum,daily,2016020300,all-access,all-agents,1072
en.wikipedia,Ethereum,daily,2016020400,all-access,all-agents,1136
en.wikipedia,Ethereum,daily,2016020500,all-access,all-agents,948
en.wikipedia,Ethereum,daily,2016020600,all-access,all-agents,665
en.wikipedia,Ethereum,daily,2016020700,all-access,all-agents,834
en.wikipedia,Ethereum,daily,2016020800,all-access,all-agents,1295
en.wikipedia,Ethereum,daily,2016020900,all-access,all-agents,1589
en.wikipedia,Ethereum,daily,2016021000,all-access,all-agents,2033
en.wikipedia,Ethereum,daily,2016021100,all-access,all-agents,1921
en.wikipedia,Ethereum,daily,2016021200,all-access,all-agents,2112
en.wikipedia,Ethereum,daily,2016021300,all-access,all-agents,1456
en.wikipedia,Ethereum,daily,2016021400,all-access,all-agents,1099
en.wikipedia,Ethereum,daily,2016021500,all-access,all-agents,1629
en.wikipedia,Ethereum,daily,2016021600,all-access,all-agents,1651
en.wikipedia,Ethereum,daily,2016021700,all-access,all-agents,1887
en.wikipedia,Ethereum,daily,2016021800,all-access,all-agents,1172
en.wikipedia,Ethereum,daily,2016021900,all-access,all-agents,1349
en.wikipedia,Ethereum,daily,2016022000,all-access,all-agents,1871
en.wikipedia,Ethereum,daily,2016022100,all-access,all-agents,1324
en.wikipedia,Ethereum,daily,2016022200,all-access,all-agents,1671
en.wikipedia,Ethereum,daily,2016022300,all-access,all-agents,1862
en.wikipedia,Ethereum,daily,2016022400,all-access,all-agents,1513
en.wikipedia,Ethereum,daily,2016022500,all-access,all-agents,1675
en.wikipedia,Ethereum,daily,2016022600,all-access,all-agents,2050
en.wikipedia,Ethereum,daily,2016022700,all-access,all-agents,1532
en.wikipedia,Ethereum,daily,2016022800,all-access,all-agents,1350
en.wikipedia,Ethereum,daily,2016022900,all-access,all-agents,1466
en.wikipedia,Ethereum,daily,2016030100,all-access,all-agents,1729
en.wikipedia,Ethereum,daily,2016030200,all-access,all-agents,2231
en.wikipedia,Ethereum,daily,2016030300,all-access,all-agents,2891
en.wikipedia,Ethereum,daily,2016030400,all-access,all-agents,2087
en.wikipedia,Ethereum,daily,2016030500,all-access,all-agents,2772
en.wikipedia,Ethereum,daily,2016030600,all-access,all-agents,2204
en.wikipedia,Ethereum,daily,2016030700,all-access,all-agents,2006
en.wikipedia,Ethereum,daily,2016030800,all-access,all-agents,1704
