"","GBP_USD_history.csv Date","GBP_USD_history.csv Price","GBP_USD_history.csv Open","GBP_USD_history.csv High","GBP_USD_history.csv Low"
"1628",2015-03-26,1.485,1.4879,1.4995,1.4805
"1629",2015-03-27,1.4877,1.4848,1.4924,1.4794
"1630",2015-03-30,1.481,1.4877,1.4903,1.4751
"1631",2015-03-31,1.4818,1.4809,1.4873,1.4752
"1632",2015-04-01,1.4823,1.4815,1.4873,1.4737
"1633",2015-04-02,1.4829,1.4821,1.487,1.4774
"1634",2015-04-03,1.4921,1.4825,1.4945,1.4808
"1635",2015-04-06,1.4881,1.4919,1.4983,1.4867
"1636",2015-04-07,1.4808,1.4877,1.4922,1.4798
"1637",2015-04-08,1.4867,1.4803,1.4974,1.4801
"1638",2015-04-09,1.4714,1.4865,1.4888,1.468
"1639",2015-04-10,1.4631,1.4709,1.4727,1.4585
"1640",2015-04-13,1.4676,1.4632,1.4687,1.4563
"1641",2015-04-14,1.478,1.467,1.4805,1.4601
"1642",2015-04-15,1.4842,1.4776,1.4857,1.4699
"1643",2015-04-16,1.4935,1.4838,1.4971,1.481
"1644",2015-04-17,1.4962,1.4931,1.5055,1.4914
"1645",2015-04-20,1.4906,1.4957,1.4986,1.4886
"1646",2015-04-21,1.4926,1.4903,1.4978,1.4853
"1647",2015-04-22,1.5036,1.4921,1.5084,1.491
"1648",2015-04-23,1.5058,1.5033,1.5071,1.4957
"1649",2015-04-24,1.5189,1.5053,1.5191,1.5025
"1650",2015-04-27,1.5238,1.5167,1.5266,1.5105
"1651",2015-04-28,1.5338,1.5237,1.5343,1.5174
"1652",2015-04-29,1.544,1.5338,1.55,1.5325
"1653",2015-04-30,1.5351,1.5438,1.5492,1.5301
"1654",2015-05-01,1.5141,1.5349,1.5398,1.5112
"1655",2015-05-04,1.512,1.5141,1.5176,1.5088
"1656",2015-05-05,1.5183,1.5119,1.5219,1.5087
"1657",2015-05-06,1.5245,1.5177,1.5292,1.5148
"1658",2015-05-07,1.5246,1.5242,1.5276,1.5162
"1659",2015-05-08,1.5456,1.5244,1.5525,1.5242
"1660",2015-05-11,1.5587,1.5444,1.5614,1.5391
"1661",2015-05-12,1.5671,1.5584,1.5717,1.5554
"1662",2015-05-13,1.5745,1.5664,1.577,1.5631
"1663",2015-05-14,1.5776,1.5742,1.5817,1.5726
"1664",2015-05-15,1.5723,1.5774,1.5809,1.5699
"1665",2015-05-18,1.5653,1.573,1.5751,1.5634
"1666",2015-05-19,1.551,1.5647,1.5671,1.5445
"1667",2015-05-20,1.5537,1.5507,1.5591,1.547
"1668",2015-05-21,1.5662,1.5531,1.5701,1.552
"1669",2015-05-22,1.549,1.566,1.5691,1.5455
"1670",2015-05-25,1.5471,1.548,1.5512,1.5454
"1671",2015-05-26,1.5385,1.5465,1.5479,1.5352
"1672",2015-05-27,1.5355,1.5383,1.5439,1.5299
"1673",2015-05-28,1.5316,1.5354,1.5388,1.5259
"1674",2015-05-29,1.5291,1.5314,1.5345,1.5234
"1675",2015-06-01,1.5201,1.5291,1.5305,1.5168
"1676",2015-06-02,1.5344,1.52,1.5368,1.5178
"1677",2015-06-03,1.5341,1.5342,1.538,1.5249
"1678",2015-06-04,1.5366,1.5339,1.5442,1.5302
"1679",2015-06-05,1.5272,1.536,1.5371,1.5188
"1680",2015-06-08,1.535,1.5259,1.5365,1.5219
"1681",2015-06-09,1.5386,1.5348,1.5391,1.5256
"1682",2015-06-10,1.5531,1.5384,1.5554,1.5366
"1683",2015-06-11,1.5518,1.5526,1.5538,1.542
"1684",2015-06-12,1.5559,1.5512,1.5602,1.5465
"1685",2015-06-15,1.5601,1.5561,1.5614,1.5485
"1686",2015-06-16,1.5649,1.5599,1.5657,1.5539
"1687",2015-06-17,1.5833,1.5646,1.585,1.5623
"1688",2015-06-18,1.5881,1.5831,1.593,1.5803
