Date	Price	Open	High	Low	Change %
May 12, 2010	1,4848	1,4954	1,5045	1,4820	-0,71%
May 13, 2010	1,4592	1,4848	1,4918	1,4572	-1,72%
May 14, 2010	1,4534	1,4592	1,4640	1,4496	-0,40%
May 17, 2010	1,4466	1,4479	1,4510	1,4252	-0,47%
May 18, 2010	1,4258	1,4466	1,4521	1,4256	-1,44%
May 19, 2010	1,4424	1,4258	1,4468	1,4240	1,16%
May 20, 2010	1,4396	1,4424	1,4461	1,4229	-0,19%
May 21, 2010	1,4455	1,4396	1,4497	1,4319	0,41%
May 24, 2010	1,4388	1,4440	1,4528	1,4352	-0,46%
May 25, 2010	1,4391	1,4388	1,4448	1,4261	0,02%
May 26, 2010	1,4393	1,4391	1,4444	1,4330	0,01%
May 27, 2010	1,4568	1,4393	1,4608	1,4381	1,22%
May 28, 2010	1,4457	1,4568	1,4611	1,4434	-0,76%
May 31, 2010	1,4508	1,4462	1,4549	1,4428	0,35%
Jun 01, 2010	1,4667	1,4508	1,4723	1,4440	1,10%
Jun 02, 2010	1,4670	1,4667	1,4770	1,4553	0,02%
Jun 03, 2010	1,4643	1,4670	1,4744	1,4587	-0,18%
Jun 04, 2010	1,4454	1,4643	1,4682	1,4454	-1,29%
Jun 07, 2010	1,4475	1,4426	1,4562	1,4388	0,15%
Jun 08, 2010	1,4446	1,4475	1,4530	1,4346	-0,20%
Jun 09, 2010	1,4548	1,4446	1,4608	1,4404	0,71%
Jun 10, 2010	1,4726	1,4548	1,4728	1,4510	1,22%
Jun 11, 2010	1,4551	1,4726	1,4760	1,4505	-1,19%
Jun 14, 2010	1,4736	1,4614	1,4809	1,4571	1,27%
Jun 15, 2010	1,4800	1,4736	1,4837	1,4683	0,43%
Jun 16, 2010	1,4710	1,4800	1,4856	1,4706	-0,61%
Jun 17, 2010	1,4813	1,4710	1,4838	1,4646	0,70%
Jun 18, 2010	1,4825	1,4813	1,4886	1,4772	0,08%
Jun 21, 2010	1,4764	1,4838	1,4937	1,4739	-0,41%
Jun 22, 2010	1,4810	1,4764	1,4859	1,4688	0,31%
Jun 23, 2010	1,4972	1,4810	1,4972	1,4804	1,09%
Jun 24, 2010	1,4930	1,4972	1,5011	1,4916	-0,28%
Jun 25, 2010	1,5061	1,4930	1,5077	1,4857	0,88%
Jun 28, 2010	1,5105	1,5045	1,5128	1,5018	0,29%
Jun 29, 2010	1,5056	1,5105	1,5120	1,5012	-0,32%
Jun 30, 2010	1,4958	1,5056	1,5074	1,4932	-0,65%
Jul 01, 2010	1,5163	1,4958	1,5190	1,4874	1,37%
Jul 02, 2010	1,5204	1,5163	1,5227	1,5152	0,27%
Jul 05, 2010	1,5096	1,5190	1,5200	1,5090	-0,71%
Jul 06, 2010	1,5156	1,5096	1,5225	1,5082	0,40%
Jul 07, 2010	1,5188	1,5156	1,5218	1,5082	0,21%
Jul 08, 2010	1,5154	1,5188	1,5241	1,5104	-0,22%
Jul 09, 2010	1,5063	1,5154	1,5205	1,5052	-0,60%
